 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 1.584E-01 3.059E-02 1.741E-01 2.342E-03 2.014E-01 2.081E-01 1.815E-01 1.295E+09 9.654E-01
 0.000E+00 0.000E+00 1.159E-01 4.733E-02 1.668E-01 1.733E-03 1.378E-01 2.832E-01 1.719E-01 3.483E-03 9.293E-01
 0.000E+00 0.000E+00 1.641E-01 3.917E-02 1.124E-01 1.668E-03 1.814E-01 2.519E-01 2.228E-01 3.522E-03 9.865E-01
 0.000E+00 0.000E+00 1.558E-01 3.664E-02 1.668E-01 9.959E-03 1.246E-01 2.576E-01 1.723E-01 3.455E-03 9.287E-01
 0.000E+00 0.000E+00 1.374E-01 4.552E-02 1.325E-01 1.926E-03 1.436E-01 2.544E-01 2.235E-01 3.616E-03 9.522E-01
 0.000E+00 0.000E+00 1.280E-01 4.954E-02 1.891E-01 1.862E-02 1.477E-01 1.931E-01 2.120E-01 3.487E-03 9.430E-01
 0.000E+00 0.000E+00 1.768E-01 4.156E-02 1.025E-01 1.757E-03 1.569E-01 2.358E-01 2.189E-01 3.309E-03 9.389E-01
 0.000E+00 0.000E+00 1.379E-01 7.081E-02 1.498E-01 1.708E-03 1.933E-01 2.512E-01 1.483E-01 1.230E-02 9.668E-01
 0.000E+00 0.000E+00 1.343E-01 7.098E-02 1.117E-01 1.116E-02 2.140E-01 2.269E-01 2.096E-01 1.183E-02 9.918E-01
 0.000E+00 0.000E+00 1.617E-01 1.953E-02 1.438E-01 1.351E-02 1.749E-01 2.232E-01 2.465E-01 2.897E-03 9.873E-01
