 r/a           pflux_e_neo   pflux_e_tur   eflux_e_neo   eflux_e_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  2.181047E-03  0.000000E+00  5.841498E-03  0.000000E+00
 1.062500E-01  1.907787E-03  1.651752E-04  4.970274E-03  6.129209E-04
 1.593750E-01  1.755941E-03  6.781982E-03  4.596355E-03  2.567361E-02
 2.125000E-01  1.700456E-03  3.628944E-02  4.510392E-03  1.763259E-01
 2.656250E-01  1.692934E-03  7.403663E-02  4.558739E-03  4.438601E-01
 3.187500E-01  1.723825E-03  8.691219E-02  4.714392E-03  6.868938E-01
 3.718750E-01  1.803156E-03  1.382908E-01  4.994639E-03  1.239489E+00
 4.250000E-01  1.927671E-03  2.097019E-01  5.374183E-03  1.975577E+00
 4.781250E-01  2.066818E-03  2.814165E-01  5.800974E-03  2.690815E+00
 5.312500E-01  2.224460E-03  2.600981E-01  6.429379E-03  3.297505E+00
 5.843750E-01  2.533963E-03  2.343955E-01  7.589412E-03  4.644883E+00
 6.375000E-01  3.171853E-03  4.553779E-02  9.854080E-03  5.978368E+00
 6.906250E-01  4.503065E-03 -1.559051E-01  1.446730E-02  8.609643E+00
 7.437500E-01  7.550934E-03 -2.745565E-01  2.452732E-02  1.391789E+01
 7.968750E-01  1.526873E-02 -3.118893E-01  4.873829E-02  2.417814E+01
 8.500000E-01  3.814042E-02 -2.798209E-01  1.180954E-01  4.721699E+01
 r/a           pflux_e_neo   pflux_e_tur   eflux_e_neo   eflux_e_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.117701E-04  0.000000E+00  2.888511E-03  0.000000E+00
 1.062500E-01  1.558088E-03  1.490784E-04  4.050347E-03  5.492185E-04
 1.593750E-01  1.417222E-03  6.747601E-03  3.719363E-03  2.642999E-02
 2.125000E-01  1.108676E-03  1.553760E-02  3.255194E-03  1.176841E-01
 2.656250E-01  9.067007E-04  1.285353E-02  3.031748E-03  2.716855E-01
 3.187500E-01  9.939582E-04  2.193723E-02  3.290209E-03  5.538919E-01
 3.718750E-01  3.835799E-04 -1.472749E-01  2.584790E-03  5.688138E-01
 4.250000E-01  1.512616E-03  8.884092E-02  4.480287E-03  1.736147E+00
 4.781250E-01  1.545931E-03  4.352507E-02  4.744251E-03  2.204662E+00
 5.312500E-01  1.798086E-03  1.088386E-01  5.496977E-03  2.989609E+00
 5.843750E-01  1.905463E-03  3.296142E-03  6.310410E-03  4.037727E+00
 6.375000E-01  2.886238E-03  3.852523E-02  9.024424E-03  6.225151E+00
 6.906250E-01  3.395400E-03 -3.031786E-01  1.217933E-02  8.325420E+00
 7.437500E-01  6.490691E-03 -3.610982E-01  2.203432E-02  1.382401E+01
 7.968750E-01  1.284286E-02 -5.084465E-01  4.334620E-02  2.383897E+01
 8.500000E-01  4.238917E-02 -6.269148E-01  1.335680E-01  7.044690E+01
