 r/a           Di_neo        Di_tur        chii_neo      chii_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.907179E-03  0.000000E+00  1.476769E-01  0.000000E+00
 1.062500E-01  4.089208E-03  3.540415E-04  7.400424E-02  4.204537E-03
 1.593750E-01  2.650009E-03  1.023515E-02  5.098465E-02  7.569506E-02
 2.125000E-01  2.032857E-03  4.338322E-02  4.069690E-02  2.946266E-01
 2.656250E-01  1.715666E-03  7.503077E-02  3.525446E-02  4.970401E-01
 3.187500E-01  1.557208E-03  7.851167E-02  3.247174E-02  6.325355E-01
 3.718750E-01  1.511296E-03  1.159069E-01  3.167606E-02  1.037642E+00
 4.250000E-01  1.564555E-03  1.702002E-01  3.267046E-02  1.338650E+00
 4.781250E-01  1.711008E-03  2.329697E-01  3.514556E-02  1.561900E+00
 5.312500E-01  1.973942E-03  2.308059E-01  3.920962E-02  1.713384E+00
 5.843750E-01  2.425470E-03  2.243597E-01  4.580118E-02  1.998091E+00
 6.375000E-01  3.217327E-03  4.619065E-02  5.646251E-02  1.931736E+00
 6.906250E-01  4.704429E-03 -1.628767E-01  7.417662E-02  1.880538E+00
 7.437500E-01  7.735011E-03 -2.812497E-01  1.056790E-01  2.136897E+00
 7.968750E-01  1.434873E-02 -2.930969E-01  1.667517E-01  3.196502E+00
 8.500000E-01  3.023501E-02 -2.218220E-01  3.006398E-01  5.259187E+00
 r/a           Di_neo        Di_tur        chii_neo      chii_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.354518E-01  0.000000E+00  1.213690E-01  0.000000E+00
 1.062500E-01  3.339654E-03  3.195392E-04  6.179081E-02  3.756049E-03
 1.593750E-01  2.138826E-03  1.018326E-02  4.217804E-02  8.618207E-02
 2.125000E-01  1.689479E-03  2.367730E-02  3.336505E-02  2.356627E-01
 2.656250E-01  1.459415E-03  2.068890E-02  2.900793E-02  3.390040E-01
 3.187500E-01  1.322564E-03  2.918975E-02  2.715670E-02  5.328708E-01
 3.718750E-01  1.520128E-03 -5.836506E-01  2.673312E-02  3.287142E-01
 4.250000E-01  1.387283E-03  8.147967E-02  2.897717E-02  1.343954E+00
 4.781250E-01  1.540156E-03  4.336248E-02  3.134243E-02  1.474716E+00
 5.312500E-01  1.787363E-03  1.081895E-01  3.534207E-02  1.717874E+00
 5.843750E-01  2.250287E-03  3.892632E-03  4.147121E-02  1.934849E+00
 6.375000E-01  2.927617E-03  3.907755E-02  5.186686E-02  2.016174E+00
 6.906250E-01  4.618093E-03 -4.123540E-01  6.801237E-02  1.553889E+00
 7.437500E-01  7.467359E-03 -4.154334E-01  9.835802E-02  2.015721E+00
 7.968750E-01  1.531907E-02 -6.064793E-01  1.558095E-01  3.916071E+00
 8.500000E-01  3.360311E-02 -4.969733E-01  2.974784E-01  9.644662E+00
