 r/a           eflux_i_tot   eflux_i_targeteflux_e_tot   eflux_e_targetpflux_e_tot   pflux_e_target
               (GB)          (GB)          (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  5.034335E-02  6.571732E-02  5.841498E-03  3.030043E-02  2.181047E-03  0.000000E+00
 1.062500E-01  5.056737E-02  1.421548E-01  5.583195E-03  6.638683E-02  2.072962E-03  0.000000E+00
 1.593750E-01  1.162559E-01  2.402988E-01  3.026997E-02  1.144719E-01  8.537923E-03  0.000000E+00
 2.125000E-01  3.899512E-01  3.783119E-01  1.808363E-01  1.855206E-01  3.798989E-02  0.000000E+00
 2.656250E-01  7.313091E-01  5.805994E-01  4.484189E-01  2.963031E-01  7.572957E-02  0.000000E+00
 3.187500E-01  1.023270E+00  8.904333E-01  6.916082E-01  4.791800E-01  8.863601E-02  0.000000E+00
 3.718750E-01  1.743022E+00  1.381138E+00  1.244484E+00  7.949429E-01  1.400939E-01  0.000000E+00
 4.250000E-01  2.211620E+00  2.153233E+00  1.980951E+00  1.341904E+00  2.116295E-01  0.000000E+00
 4.781250E-01  2.483885E+00  3.322102E+00  2.696616E+00  2.260574E+00  2.834834E-01  0.000000E+00
 5.312500E-01  2.656016E+00  5.086251E+00  3.303934E+00  3.793514E+00  2.623225E-01  0.000000E+00
 5.843750E-01  3.085665E+00  7.730873E+00  4.652472E+00  6.308251E+00  2.369294E-01  0.000000E+00
 6.375000E-01  3.134299E+00  1.193490E+01  5.988222E+00  1.059719E+01  4.870964E-02  0.000000E+00
 6.906250E-01  3.464818E+00  1.910220E+01  8.624111E+00  1.836515E+01 -1.514020E-01  0.000000E+00
 7.437500E-01  4.887926E+00  3.286990E+01  1.394242E+01  3.414048E+01 -2.670056E-01  0.000000E+00
 7.968750E-01  9.755114E+00  6.283771E+01  2.422688E+01  7.071148E+01 -2.966206E-01  0.000000E+00
 8.500000E-01  2.373711E+01  1.398681E+02  4.733509E+01  1.725912E+02 -2.416805E-01  0.000000E+00
 r/a           eflux_i_tot   eflux_i_targeteflux_e_tot   eflux_e_targetpflux_e_tot   pflux_e_target
               (GB)          (GB)          (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  4.187677E-02  7.155237E-02  2.888511E-03  3.299081E-02  8.117701E-04  0.000000E+00
 1.062500E-01  4.289607E-02  1.537286E-01  4.599566E-03  7.179186E-02  1.707167E-03  0.000000E+00
 1.593750E-01  1.192410E-01  2.598126E-01  3.014935E-02  1.237677E-01  8.164823E-03  0.000000E+00
 2.125000E-01  3.167346E-01  4.068635E-01  1.209393E-01  1.995220E-01  1.664627E-02  0.000000E+00
 2.656250E-01  5.119900E-01  6.151765E-01  2.747173E-01  3.139491E-01  1.376023E-02  0.000000E+00
 3.187500E-01  8.727915E-01  9.246407E-01  5.571821E-01  4.975885E-01  2.293119E-02  0.000000E+00
 3.718750E-01  5.870127E-01  1.383668E+00  5.713986E-01  7.963993E-01 -1.468913E-01  0.000000E+00
 4.250000E-01  2.243493E+00  2.090556E+00  1.740627E+00  1.302844E+00  9.035354E-02  0.000000E+00
 4.781250E-01  2.372969E+00  3.193743E+00  2.209406E+00  2.173230E+00  4.507100E-02  0.000000E+00
 5.312500E-01  2.692002E+00  4.850189E+00  2.995106E+00  3.617450E+00  1.106367E-01  0.000000E+00
 5.843750E-01  3.023691E+00  7.320009E+00  4.044037E+00  5.972994E+00  5.201605E-03  0.000000E+00
 6.375000E-01  3.305200E+00  1.126830E+01  6.234175E+00  1.000530E+01  4.141147E-02  0.000000E+00
 6.906250E-01  2.916362E+00  1.799529E+01  8.337599E+00  1.730095E+01 -2.997832E-01  0.000000E+00
 7.437500E-01  4.675746E+00  3.079060E+01  1.384604E+01  3.198080E+01 -3.546075E-01  0.000000E+00
 7.968750E-01  1.335607E+01  5.862603E+01  2.388232E+01  6.597206E+01 -4.956036E-01  0.000000E+00
 8.500000E-01  5.575754E+01  1.398681E+02  7.058047E+01  1.725912E+02 -5.845256E-01  0.000000E+00
