 r/a           De_neo        De_tur        chie_neo      chie_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.907179E-03  0.000000E+00  1.320929E-02  0.000000E+00
 1.062500E-01  4.089208E-03  3.540415E-04  5.864817E-03  7.232336E-04
 1.593750E-01  2.650009E-03  1.023515E-02  3.774166E-03  2.108116E-02
 2.125000E-01  2.032857E-03  4.338322E-02  2.876984E-03  1.124707E-01
 2.656250E-01  1.715666E-03  7.503077E-02  2.410435E-03  2.346912E-01
 3.187500E-01  1.557208E-03  7.851167E-02  2.164566E-03  3.153804E-01
 3.718750E-01  1.511296E-03  1.159069E-01  2.076396E-03  5.152867E-01
 4.250000E-01  1.564555E-03  1.702002E-01  2.128821E-03  7.825653E-01
 4.781250E-01  1.711008E-03  2.329697E-01  2.284864E-03  1.059847E+00
 5.312500E-01  1.973942E-03  2.308059E-01  2.489634E-03  1.276885E+00
 5.843750E-01  2.425470E-03  2.243597E-01  2.831570E-03  1.732982E+00
 6.375000E-01  3.217327E-03  4.619065E-02  3.404312E-03  2.065361E+00
 6.906250E-01  4.704429E-03 -1.628767E-01  4.379943E-03  2.606551E+00
 7.437500E-01  7.735011E-03 -2.812497E-01  6.241159E-03  3.541511E+00
 7.968750E-01  1.434873E-02 -2.930969E-01  1.013165E-02  5.026119E+00
 8.500000E-01  3.023501E-02 -2.218220E-01  1.924643E-02  7.695123E+00
 r/a           De_neo        De_tur        chie_neo      chie_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.354518E-01  0.000000E+00  6.531748E-03  0.000000E+00
 1.062500E-01  3.339654E-03  3.195392E-04  4.779324E-03  6.480661E-04
 1.593750E-01  2.138826E-03  1.018326E-02  3.054049E-03  2.170223E-02
 2.125000E-01  1.689479E-03  2.367730E-02  2.076347E-03  7.506559E-02
 2.656250E-01  1.459415E-03  2.068890E-02  1.603038E-03  1.436538E-01
 3.187500E-01  1.322564E-03  2.918975E-02  1.510667E-03  2.543139E-01
 3.718750E-01  1.520128E-03 -5.836506E-01  1.074562E-03  2.364701E-01
 4.250000E-01  1.387283E-03  8.147967E-02  1.774731E-03  6.877222E-01
 4.781250E-01  1.540156E-03  4.336248E-02  1.868647E-03  8.683634E-01
 5.312500E-01  1.787363E-03  1.081895E-01  2.128581E-03  1.157659E+00
 5.843750E-01  2.250287E-03  3.892632E-03  2.354381E-03  1.506455E+00
 6.375000E-01  2.927617E-03  3.907755E-02  3.117689E-03  2.150618E+00
 6.906250E-01  4.618093E-03 -4.123540E-01  3.687266E-03  2.520504E+00
 7.437500E-01  7.467359E-03 -4.154334E-01  5.606798E-03  3.517622E+00
 7.968750E-01  1.531907E-02 -6.064793E-01  9.010750E-03  4.955614E+00
 8.500000E-01  3.360311E-02 -4.969733E-01  1.871758E-02  9.872093E+00
