 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  2.550243E-01
 2.125000E-01  8.365621E-01  8.365621E-01  1.568382E+00  1.567901E+00  2.404662E+00  8.283977E-03  1.705188E-01
 4.250000E-01  1.232163E+00  1.232163E+00  2.108726E+00  2.524646E+00  3.580406E+00  2.890413E-02  3.154660E-01
 6.375000E-01  9.859152E-01  9.859152E-01  1.763828E+00  2.895019E+00  3.355283E+00  7.399518E-02  6.545186E-01
 8.500000E-01  1.261922E+00  1.261922E+00  3.190354E+00  6.138499E+00  5.712690E+00  1.492622E-01  1.560559E+00
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  2.418297E-01
 2.125000E-01  8.365621E-01  8.365621E-01  5.683820E-01  1.567901E+00  1.991281E+00  7.855376E-03  1.616964E-01
 4.250000E-01  2.321626E-01  2.321626E-01  2.108726E+00  3.524646E+00  3.081874E+00  2.890413E-02  3.154660E-01
 6.375000E-01  9.859152E-01  9.859152E-01  2.763828E+00  1.895019E+00  3.307686E+00  7.399518E-02  6.545186E-01
 8.500000E-01  1.261922E+00  1.261922E+00  3.190354E+00  7.138499E+00  6.140217E+00  1.492622E-01  1.560559E+00
