 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  6.560013E-04  2.351778E-02  9.632362E-06  4.017771E-03  4.786044E-03
 2.125000E-01  8.313418E-04  2.980149E-02  1.220603E-05  3.651518E-03  4.349868E-03
 4.250000E-01  1.460428E-03  5.593627E-02  2.290996E-05  2.926008E-03  3.409519E-03
 6.375000E-01  2.770337E-03  1.357783E-01  5.560806E-05  2.233634E-03  2.397369E-03
 8.500000E-01  7.342769E-03  6.894637E-01  2.823160E-04  1.426800E-03  1.233014E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  5.095054E-04  1.557488E-02  6.379312E-06  4.017771E-03  5.047178E-03
 2.125000E-01  5.506173E-04  1.973823E-02  8.084342E-06  3.850750E-03  4.587203E-03
 4.250000E-01  9.579708E-04  5.046576E-02  2.066792E-05  3.254013E-03  3.409519E-03
 6.375000E-01  2.362202E-03  1.357783E-01  5.560585E-05  2.355504E-03  2.397369E-03
 8.500000E-01  7.342769E-03  6.894637E-01  2.823160E-04  1.426800E-03  1.233014E-03
