 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 2.559E-01 2.775E-02 1.256E-01 9.915E-03 1.364E-01 3.742E-01 1.671E-01 9.595E-03 1.110E+00
 0.000E+00 0.000E+00 2.474E-01 2.809E-02 1.278E-01 1.016E-02 1.382E-01 3.737E-01 1.648E-01 1.053E-02 1.104E+00
 0.000E+00 0.000E+00 2.474E-01 2.850E-02 1.273E-01 1.068E-02 1.390E-01 3.704E-01 1.674E-01 9.841E-03 1.103E+00
 0.000E+00 0.000E+00 2.513E-01 2.737E-02 1.260E-01 9.845E-03 1.366E-01 3.742E-01 1.693E-01 9.952E-03 1.107E+00
 0.000E+00 0.000E+00 2.521E-01 2.718E-02 1.270E-01 1.019E-02 1.383E-01 3.741E-01 1.700E-01 1.014E-02 1.112E+00
 0.000E+00 0.000E+00 2.496E-01 2.752E-02 1.280E-01 1.036E-02 1.373E-01 3.686E-01 1.695E-01 1.025E-02 1.104E+00
 0.000E+00 0.000E+00 2.508E-01 2.819E-02 1.276E-01 9.907E-03 1.393E-01 3.688E-01 1.704E-01 1.018E-02 1.108E+00
 0.000E+00 0.000E+00 2.416E-01 2.658E-02 1.275E-01 9.732E-03 1.331E-01 3.903E-01 1.717E-01 8.943E-03 1.112E+00
