 ----------------------------------------------------------------
  Sample output from GEO
 ----------------------------------------------------------------

n_theta =  101

 ave1:           1.285167
 avegrad_r:      1.145478
 avegrad_r2:     1.033698
 ffprime:       -0.556266
 f:              2.190605
 beta_star:      0.015606


 theta       b           dbdt        dbdt2       jb          grad_r      
-2.5761E+00 -4.5202E-01 -9.3858E-01 -2.8763E-02  9.3755E-01 -4.0709E-01
-2.5133E+00 -5.0344E-01 -9.0975E-01 -2.8513E-02  9.4829E-01 -4.0199E-01
-2.4504E+00 -5.5479E-01 -8.7681E-01 -2.8257E-02  9.5964E-01 -3.9285E-01
-2.3876E+00 -6.0584E-01 -8.3949E-01 -2.8003E-02  9.7139E-01 -3.7969E-01
-2.3248E+00 -6.5625E-01 -7.9751E-01 -2.7757E-02  9.8328E-01 -3.6260E-01
-2.2619E+00 -7.0558E-01 -7.5067E-01 -2.7528E-02  9.9498E-01 -3.4174E-01
-2.1991E+00 -7.5332E-01 -6.9878E-01 -2.7324E-02  1.0061E+00 -3.1733E-01
-2.1363E+00 -7.9886E-01 -6.4178E-01 -2.7155E-02  1.0163E+00 -2.8965E-01
-2.0735E+00 -8.4150E-01 -5.7969E-01 -2.7030E-02  1.0252E+00 -2.5905E-01
-2.0106E+00 -8.8051E-01 -5.1271E-01 -2.6960E-02  1.0322E+00 -2.2593E-01
-1.9478E+00 -9.1511E-01 -4.4122E-01 -2.6951E-02  1.0370E+00 -1.9072E-01
-1.8850E+00 -9.4458E-01 -3.6576E-01 -2.7015E-02  1.0391E+00 -1.5391E-01
-1.8221E+00 -9.6825E-01 -2.8706E-01 -2.7157E-02  1.0384E+00 -1.1600E-01
-1.7593E+00 -9.8560E-01 -2.0601E-01 -2.7383E-02  1.0345E+00 -7.7507E-02
-1.6965E+00 -9.9628E-01 -1.2363E-01 -2.7697E-02  1.0275E+00 -3.8960E-02
-1.6336E+00 -1.0001E+00 -4.0971E-02 -2.8102E-02  1.0174E+00 -8.8266E-04
-1.5708E+00 -9.9728E-01  4.0920E-02 -2.8597E-02  1.0045E+00  3.6211E-02
-1.5080E+00 -9.8793E-01  1.2106E-01 -2.9179E-02  9.8908E-01  7.1828E-02
-1.4451E+00 -9.7255E-01  1.9860E-01 -2.9844E-02  9.7156E-01  1.0550E-01
-1.3823E+00 -9.5169E-01  2.7284E-01 -3.0585E-02  9.5240E-01  1.3681E-01
-1.3195E+00 -9.2598E-01  3.4326E-01 -3.1395E-02  9.3209E-01  1.6536E-01
-1.2566E+00 -8.9607E-01  4.0950E-01 -3.2262E-02  9.1110E-01  1.9082E-01
-1.1938E+00 -8.6261E-01  4.7138E-01 -3.3178E-02  8.8985E-01  2.1290E-01
-1.1310E+00 -8.2620E-01  5.2881E-01 -3.4130E-02  8.6873E-01  2.3138E-01
-1.0681E+00 -7.8738E-01  5.8186E-01 -3.5107E-02  8.4805E-01  2.4608E-01
-1.0053E+00 -7.4660E-01  6.3062E-01 -3.6099E-02  8.2808E-01  2.5690E-01
-9.4248E-01 -7.0427E-01  6.7527E-01 -3.7092E-02  8.0901E-01  2.6379E-01
-8.7965E-01 -6.6070E-01  7.1601E-01 -3.8076E-02  7.9100E-01  2.6676E-01
-8.1681E-01 -6.1616E-01  7.5303E-01 -3.9041E-02  7.7416E-01  2.6587E-01
-7.5398E-01 -5.7084E-01  7.8654E-01 -3.9975E-02  7.5856E-01  2.6123E-01
-6.9115E-01 -5.2490E-01  8.1674E-01 -4.0869E-02  7.4424E-01  2.5300E-01
-6.2832E-01 -4.7847E-01  8.4380E-01 -4.1715E-02  7.3123E-01  2.4138E-01
-5.6549E-01 -4.3163E-01  8.6788E-01 -4.2504E-02  7.1953E-01  2.2660E-01
-5.0265E-01 -3.8445E-01  8.8912E-01 -4.3229E-02  7.0914E-01  2.0892E-01
-4.3982E-01 -3.3699E-01  9.0763E-01 -4.3884E-02  7.0003E-01  1.8863E-01
-3.7699E-01 -2.8928E-01  9.2351E-01 -4.4463E-02  6.9220E-01  1.6603E-01
-3.1416E-01 -2.4138E-01  9.3684E-01 -4.4960E-02  6.8561E-01  1.4143E-01
-2.5133E-01 -1.9331E-01  9.4767E-01 -4.5373E-02  6.8026E-01  1.1516E-01
-1.8850E-01 -1.4510E-01  9.5605E-01 -4.5697E-02  6.7612E-01  8.7546E-02
-1.2566E-01 -9.6791E-02  9.6201E-01 -4.5931E-02  6.7317E-01  5.8925E-02
-6.2832E-02 -4.8413E-02  9.6558E-01 -4.6071E-02  6.7141E-01  2.9631E-02
 4.4409E-16 -8.5487E-15  9.6677E-01 -4.6118E-02  6.7082E-01  0.0000E+00
 6.2832E-02  4.8413E-02  9.6558E-01 -4.6071E-02  6.7141E-01 -2.9631E-02
 1.2566E-01  9.6791E-02  9.6201E-01 -4.5931E-02  6.7317E-01 -5.8925E-02
 1.8850E-01  1.4510E-01  9.5605E-01 -4.5697E-02  6.7612E-01 -8.7546E-02
 2.5133E-01  1.9331E-01  9.4767E-01 -4.5373E-02  6.8026E-01 -1.1516E-01
 3.1416E-01  2.4138E-01  9.3684E-01 -4.4960E-02  6.8561E-01 -1.4143E-01
 3.7699E-01  2.8928E-01  9.2351E-01 -4.4463E-02  6.9220E-01 -1.6603E-01
 4.3982E-01  3.3699E-01  9.0763E-01 -4.3884E-02  7.0003E-01 -1.8863E-01
 5.0265E-01  3.8445E-01  8.8912E-01 -4.3229E-02  7.0914E-01 -2.0892E-01
 5.6549E-01  4.3163E-01  8.6788E-01 -4.2504E-02  7.1953E-01 -2.2660E-01
 6.2832E-01  4.7847E-01  8.4380E-01 -4.1715E-02  7.3123E-01 -2.4138E-01
 6.9115E-01  5.2490E-01  8.1674E-01 -4.0869E-02  7.4424E-01 -2.5300E-01
 7.5398E-01  5.7084E-01  7.8654E-01 -3.9975E-02  7.5856E-01 -2.6123E-01
 8.1681E-01  6.1616E-01  7.5303E-01 -3.9041E-02  7.7416E-01 -2.6587E-01
 8.7965E-01  6.6070E-01  7.1601E-01 -3.8076E-02  7.9100E-01 -2.6676E-01
 9.4248E-01  7.0427E-01  6.7527E-01 -3.7092E-02  8.0901E-01 -2.6379E-01
 1.0053E+00  7.4660E-01  6.3062E-01 -3.6099E-02  8.2808E-01 -2.5690E-01
 1.0681E+00  7.8738E-01  5.8186E-01 -3.5107E-02  8.4805E-01 -2.4608E-01
 1.1310E+00  8.2620E-01  5.2881E-01 -3.4130E-02  8.6873E-01 -2.3138E-01
 1.1938E+00  8.6261E-01  4.7138E-01 -3.3178E-02  8.8985E-01 -2.1290E-01
 1.2566E+00  8.9607E-01  4.0950E-01 -3.2262E-02  9.1110E-01 -1.9082E-01
 1.3195E+00  9.2598E-01  3.4326E-01 -3.1395E-02  9.3209E-01 -1.6536E-01
 1.3823E+00  9.5169E-01  2.7284E-01 -3.0585E-02  9.5240E-01 -1.3681E-01
 1.4451E+00  9.7255E-01  1.9860E-01 -2.9844E-02  9.7156E-01 -1.0550E-01
 1.5080E+00  9.8793E-01  1.2106E-01 -2.9179E-02  9.8908E-01 -7.1828E-02
 1.5708E+00  9.9728E-01  4.0920E-02 -2.8597E-02  1.0045E+00 -3.6211E-02
 1.6336E+00  1.0001E+00 -4.0971E-02 -2.8102E-02  1.0174E+00  8.8266E-04
 1.6965E+00  9.9628E-01 -1.2363E-01 -2.7697E-02  1.0275E+00  3.8960E-02
 1.7593E+00  9.8560E-01 -2.0601E-01 -2.7383E-02  1.0345E+00  7.7507E-02
 1.8221E+00  9.6825E-01 -2.8706E-01 -2.7157E-02  1.0384E+00  1.1600E-01
 1.8850E+00  9.4458E-01 -3.6576E-01 -2.7015E-02  1.0391E+00  1.5391E-01
 1.9478E+00  9.1511E-01 -4.4122E-01 -2.6951E-02  1.0370E+00  1.9072E-01
 2.0106E+00  8.8051E-01 -5.1271E-01 -2.6960E-02  1.0322E+00  2.2593E-01
 2.0735E+00  8.4150E-01 -5.7969E-01 -2.7030E-02  1.0252E+00  2.5905E-01
 2.1363E+00  7.9886E-01 -6.4178E-01 -2.7155E-02  1.0163E+00  2.8965E-01
 2.1991E+00  7.5332E-01 -6.9878E-01 -2.7324E-02  1.0061E+00  3.1733E-01
 2.2619E+00  7.0558E-01 -7.5067E-01 -2.7528E-02  9.9498E-01  3.4174E-01
 2.3248E+00  6.5625E-01 -7.9751E-01 -2.7757E-02  9.8328E-01  3.6260E-01
