 r/a           mflux_e_neo   mflux_e_tur   expwd_e_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  1.997689E-12  0.000000E+00
 1.593750E-01  0.000000E+00  1.460972E-10  0.000000E+00
 2.125000E-01  0.000000E+00  1.523809E-09  0.000000E+00
 2.656250E-01  0.000000E+00  4.966770E-09  0.000000E+00
 3.187500E-01  0.000000E+00  1.461689E-08  0.000000E+00
 3.718750E-01  0.000000E+00  3.011103E-08  0.000000E+00
 4.250000E-01  0.000000E+00  4.813832E-08  0.000000E+00
 4.781250E-01  0.000000E+00  7.687114E-08  0.000000E+00
 5.312500E-01  0.000000E+00  1.317033E-07  0.000000E+00
 5.843750E-01  0.000000E+00  2.215640E-07  0.000000E+00
 6.375000E-01  0.000000E+00  3.578782E-07  0.000000E+00
 6.906250E-01  0.000000E+00  5.885476E-07  0.000000E+00
 7.437500E-01  0.000000E+00  9.363528E-07  0.000000E+00
 7.968750E-01  0.000000E+00  1.148912E-06  0.000000E+00
 8.500000E-01  0.000000E+00  4.828026E-06  0.000000E+00
 r/a           mflux_e_neo   mflux_e_tur   expwd_e_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  3.082638E-12  0.000000E+00
 1.593750E-01  0.000000E+00  3.459050E-09  0.000000E+00
 2.125000E-01  0.000000E+00  1.579982E-09  0.000000E+00
 2.656250E-01  0.000000E+00  4.966385E-09  0.000000E+00
 3.187500E-01  0.000000E+00  1.548123E-08  0.000000E+00
 3.718750E-01  0.000000E+00  3.106683E-08  0.000000E+00
 4.250000E-01  0.000000E+00  4.776939E-08  0.000000E+00
 4.781250E-01  0.000000E+00  7.790974E-08  0.000000E+00
 5.312500E-01  0.000000E+00  1.260121E-07  0.000000E+00
 5.843750E-01  0.000000E+00  2.206302E-07  0.000000E+00
 6.375000E-01  0.000000E+00  3.467395E-07  0.000000E+00
 6.906250E-01  0.000000E+00  5.668135E-07  0.000000E+00
 7.437500E-01  0.000000E+00  8.245521E-07  0.000000E+00
 7.968750E-01  0.000000E+00  1.615049E-06  0.000000E+00
 8.500000E-01  0.000000E+00  6.037671E-06  0.000000E+00
