 r/a           mflux_tot     mflux_target
               (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00
 1.062500E-01  2.845563E-08  0.000000E+00
 1.593750E-01  1.320961E-07  0.000000E+00
 2.125000E-01 -1.356088E-06  0.000000E+00
 2.656250E-01 -2.395067E-06  0.000000E+00
 3.187500E-01 -3.804654E-06  0.000000E+00
 3.718750E-01 -4.529875E-06  0.000000E+00
 4.250000E-01 -5.325688E-06  0.000000E+00
 4.781250E-01 -8.359092E-06  0.000000E+00
 5.312500E-01 -1.578733E-05  0.000000E+00
 5.843750E-01 -2.731181E-05  0.000000E+00
 6.375000E-01 -2.324423E-05  0.000000E+00
 6.906250E-01 -8.589635E-06  0.000000E+00
 7.437500E-01  9.265932E-06  0.000000E+00
 7.968750E-01  4.210924E-05  0.000000E+00
 8.500000E-01  6.282720E-05  0.000000E+00
 r/a           mflux_tot     mflux_target
               (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00
 1.062500E-01  3.702556E-08  0.000000E+00
 1.593750E-01  5.441147E-08  0.000000E+00
 2.125000E-01 -8.109575E-07  0.000000E+00
 2.656250E-01 -1.797212E-06  0.000000E+00
 3.187500E-01 -3.364880E-06  0.000000E+00
 3.718750E-01 -4.915707E-06  0.000000E+00
 4.250000E-01 -5.558977E-06  0.000000E+00
 4.781250E-01 -1.502762E-05  0.000000E+00
 5.312500E-01 -1.832502E-05  0.000000E+00
 5.843750E-01 -2.788170E-05  0.000000E+00
 6.375000E-01 -2.596485E-05  0.000000E+00
 6.906250E-01 -1.229938E-05  0.000000E+00
 7.437500E-01  7.901826E-06  0.000000E+00
 7.968750E-01  1.537635E-05  0.000000E+00
 8.500000E-01  6.450448E-05  0.000000E+00
