 r/a           mflux_i_neo   mflux_i_tur   expwd_i_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  2.845363E-08  0.000000E+00
 1.593750E-01  0.000000E+00  1.319500E-07  0.000000E+00
 2.125000E-01  0.000000E+00 -1.357612E-06  0.000000E+00
 2.656250E-01  0.000000E+00 -2.400034E-06  0.000000E+00
 3.187500E-01  0.000000E+00 -3.819271E-06  0.000000E+00
 3.718750E-01  0.000000E+00 -4.559986E-06  0.000000E+00
 4.250000E-01  0.000000E+00 -5.373826E-06  0.000000E+00
 4.781250E-01  0.000000E+00 -8.435963E-06  0.000000E+00
 5.312500E-01  0.000000E+00 -1.591904E-05  0.000000E+00
 5.843750E-01  0.000000E+00 -2.753337E-05  0.000000E+00
 6.375000E-01  0.000000E+00 -2.360211E-05  0.000000E+00
 6.906250E-01  0.000000E+00 -9.178183E-06  0.000000E+00
 7.437500E-01  0.000000E+00  8.329580E-06  0.000000E+00
 7.968750E-01  0.000000E+00  4.096032E-05  0.000000E+00
 8.500000E-01  0.000000E+00  5.799918E-05  0.000000E+00
 r/a           mflux_i_neo   mflux_i_tur   expwd_i_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  3.702247E-08  0.000000E+00
 1.593750E-01  0.000000E+00  5.095242E-08  0.000000E+00
 2.125000E-01  0.000000E+00 -8.125374E-07  0.000000E+00
 2.656250E-01  0.000000E+00 -1.802179E-06  0.000000E+00
 3.187500E-01  0.000000E+00 -3.380361E-06  0.000000E+00
 3.718750E-01  0.000000E+00 -4.946773E-06  0.000000E+00
 4.250000E-01  0.000000E+00 -5.606746E-06  0.000000E+00
 4.781250E-01  0.000000E+00 -1.510553E-05  0.000000E+00
 5.312500E-01  0.000000E+00 -1.845103E-05  0.000000E+00
 5.843750E-01  0.000000E+00 -2.810233E-05  0.000000E+00
 6.375000E-01  0.000000E+00 -2.631159E-05  0.000000E+00
 6.906250E-01  0.000000E+00 -1.286620E-05  0.000000E+00
 7.437500E-01  0.000000E+00  7.077274E-06  0.000000E+00
 7.968750E-01  0.000000E+00  1.376130E-05  0.000000E+00
 8.500000E-01  0.000000E+00  5.846681E-05  0.000000E+00
