 r/a           De_neo        De_tur        chie_neo      chie_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.907179E-03  0.000000E+00  1.320929E-02  0.000000E+00
 1.062500E-01  4.089208E-03  3.545675E-04  5.864817E-03  9.810335E-04
 1.593750E-01  2.650009E-03  7.530879E-03  3.774166E-03  2.457036E-02
 2.125000E-01  2.032857E-03  3.172367E-02  2.876984E-03  1.002642E-01
 2.656250E-01  1.715666E-03  3.400218E-02  2.410435E-03  1.597815E-01
 3.187500E-01  1.557208E-03  3.469105E-02  2.164566E-03  2.734182E-01
 3.718750E-01  1.511296E-03  4.934237E-02  2.076396E-03  4.788543E-01
 4.250000E-01  1.564555E-03  1.027158E-01  2.128821E-03  7.991983E-01
 4.781250E-01  1.711008E-03  1.947477E-01  2.284864E-03  1.171630E+00
 5.312500E-01  1.973942E-03  1.785218E-01  2.489634E-03  1.652058E+00
 5.843750E-01  2.425470E-03  4.074590E-02  2.831570E-03  2.184696E+00
 6.375000E-01  3.217327E-03 -2.271069E-01  3.404312E-03  2.869248E+00
 6.906250E-01  4.704429E-03 -6.046410E-01  4.379943E-03  3.693895E+00
 7.437500E-01  7.735011E-03 -8.673564E-01  6.241159E-03  4.475500E+00
 7.968750E-01  1.434873E-02 -1.329776E+00  1.013165E-02  5.930003E+00
 8.500000E-01  3.023501E-02 -1.655138E+00  1.924643E-02  7.567490E+00
 r/a           De_neo        De_tur        chie_neo      chie_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.418301E-01  0.000000E+00  6.797668E-03  0.000000E+00
 1.062500E-01  3.434010E-03  4.523353E-04  4.937179E-03  1.346296E-03
 1.593750E-01  2.305581E-03  9.537977E-03  2.822065E-03  1.581218E-01
 2.125000E-01  1.938815E-03  4.437145E-03  2.403073E-03  8.474663E-02
 2.656250E-01  1.663017E-03 -1.559815E-02  1.933590E-03  1.459527E-01
 3.187500E-01  1.489477E-03  1.243321E-02  1.879453E-03  2.833338E-01
 3.718750E-01  1.444458E-03  2.677801E-02  1.875719E-03  4.844289E-01
 4.250000E-01  1.502841E-03  3.270022E-02  1.930155E-03  7.221002E-01
 4.781250E-01  1.649855E-03  1.233739E-01  2.118164E-03  1.087670E+00
 5.312500E-01  1.927422E-03  5.021471E-02  2.270389E-03  1.578580E+00
 5.843750E-01  2.401302E-03 -1.415437E-01  2.593335E-03  2.153159E+00
 6.375000E-01  3.207187E-03 -3.897335E-01  3.203434E-03  2.898762E+00
 6.906250E-01  4.963241E-03 -1.066354E+00  3.986191E-03  3.560053E+00
 7.437500E-01  7.310555E-03 -5.869605E-01  6.365162E-03  4.095755E+00
 7.968750E-01  1.167554E-02  2.894905E-01  1.107706E-02  6.770927E+00
 8.500000E-01  3.360311E-02 -3.014071E+00  1.871758E-02  9.029027E+00
