 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  7.020559E-04  2.730545E-02  1.118353E-05  3.971970E-03  4.604709E-03
 2.125000E-01  9.039773E-04  3.498045E-02  1.432700E-05  3.587413E-03  4.165951E-03
 4.250000E-01  1.665249E-03  6.749825E-02  2.764511E-05  2.827789E-03  3.233438E-03
 6.375000E-01  3.074287E-03  1.574368E-01  6.447764E-05  2.170106E-03  2.295351E-03
 8.500000E-01  7.340179E-03  6.890472E-01  2.821454E-04  1.427321E-03  1.233567E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  7.141643E-04  2.369556E-02  9.705317E-06  3.908305E-03  4.777355E-03
 2.125000E-01  9.165816E-04  3.002602E-02  1.229820E-05  3.536982E-03  4.341895E-03
 4.250000E-01  1.392298E-03  5.065575E-02  2.074741E-05  2.951210E-03  3.498297E-03
 6.375000E-01  2.255333E-03  1.105342E-01  4.526936E-05  2.355886E-03  2.528605E-03
 8.500000E-01  7.340179E-03  6.890472E-01  2.821454E-04  1.427321E-03  1.233567E-03
