 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
 8.400000E-01  1.803267E+00  1.803267E+00  5.324929E+00  9.779471E+00  9.052995E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  5.365046E-01
 1.050000E-01  4.487021E-01  4.487021E-01  1.508015E+00  5.993054E-03  1.123219E+00  3.252215E-02  1.274203E+00
 2.100000E-01  8.019994E-01  8.019994E-01  1.783047E+00  2.435153E+00  2.954080E+00  6.840535E-02  1.423377E+00
 3.150000E-01  9.531083E-01  9.531083E-01  2.078435E+00  2.362500E+00  3.188858E+00  7.772315E-02  1.107878E+00
 4.200000E-01  9.857495E-01  9.857495E-01  1.975562E+00  2.093381E+00  3.025945E+00  7.316109E-02  8.061003E-01
 5.250000E-01  8.647121E-01  8.647121E-01  1.764336E+00  2.300318E+00  2.918514E+00  5.953988E-02  5.618812E-01
 6.300000E-01  9.286460E-01  9.286460E-01  1.772814E+00  2.416224E+00  3.039027E+00  4.735342E-02  4.192971E-01
 7.350000E-01  1.102089E+00  1.102089E+00  2.257375E+00  3.342155E+00  3.904013E+00  4.810656E-02  4.370303E-01
 8.400000E-01  1.902140E+00  1.902140E+00  5.259735E+00  9.532229E+00  9.008011E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.832423E-01
 1.050000E-01  5.751500E-01  5.751500E-01  1.220274E+00  1.935857E+00  2.212313E+00  3.081567E-02  1.207344E+00
 2.100000E-01  8.019994E-01  8.019994E-01  1.937957E+00  2.383209E+00  2.992724E+00  6.809122E-02  1.416841E+00
 3.150000E-01  9.134651E-01  9.134651E-01  2.023493E+00  2.280866E+00  3.080732E+00  7.709543E-02  1.098930E+00
 4.200000E-01  9.412633E-01  9.412633E-01  1.987777E+00  2.280847E+00  3.090664E+00  7.277210E-02  8.018144E-01
 5.250000E-01  8.647121E-01  8.647121E-01  1.764336E+00  2.300318E+00  2.918851E+00  5.951547E-02  5.616508E-01
 6.300000E-01  9.180090E-01  9.180090E-01  1.772814E+00  2.400740E+00  3.020791E+00  4.731477E-02  4.189549E-01
 7.350000E-01  1.118726E+00  1.118726E+00  2.242829E+00  3.287550E+00  3.887632E+00  4.797894E-02  4.358709E-01
 8.400000E-01  1.923443E+00  1.923443E+00  5.256112E+00  9.688029E+00  9.094577E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.879331E-01
 1.050000E-01  5.751500E-01  5.751500E-01  1.220274E+00  1.935857E+00  2.208920E+00  3.111480E-02  1.219064E+00
 2.100000E-01  7.653268E-01  7.653268E-01  1.937957E+00  2.221233E+00  2.863336E+00  6.846049E-02  1.424525E+00
 3.150000E-01  9.134651E-01  9.134651E-01  2.021773E+00  2.270358E+00  3.073980E+00  7.716336E-02  1.099898E+00
 4.200000E-01  9.641683E-01  9.641683E-01  1.986652E+00  2.280847E+00  3.112948E+00  7.281614E-02  8.022995E-01
 5.250000E-01  8.699521E-01  8.699521E-01  1.764336E+00  2.285512E+00  2.915972E+00  5.952834E-02  5.617723E-01
 6.300000E-01  9.191454E-01  9.191454E-01  1.774449E+00  2.399392E+00  3.022003E+00  4.730494E-02  4.188678E-01
 7.350000E-01  1.118618E+00  1.118618E+00  2.246053E+00  3.290529E+00  3.890682E+00  4.797103E-02  4.357990E-01
