 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 3.150000E-01  9.813806E-04  4.176800E-02  1.710665E-05  3.387732E-03  3.811206E-03
 4.200000E-01  1.360045E-03  6.044843E-02  2.475724E-05  3.004275E-03  3.331331E-03
 5.250000E-01  1.851879E-03  8.786149E-02  3.598399E-05  2.661786E-03  2.888018E-03
 6.300000E-01  2.488615E-03  1.294047E-01  5.299701E-05  2.334535E-03  2.456735E-03
 7.350000E-01  3.505684E-03  2.079557E-01  8.516428E-05  1.970023E-03  1.984087E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  4.805040E-04  1.718625E-02  7.039113E-06  4.314319E-03  5.143273E-03
 1.050000E-01  5.371636E-04  2.032658E-02  8.325228E-06  4.182539E-03  4.893386E-03
 2.100000E-01  7.080846E-04  2.898708E-02  1.187215E-05  3.799133E-03  4.329789E-03
 3.150000E-01  9.846582E-04  4.203343E-02  1.721535E-05  3.388137E-03  3.807850E-03
 4.200000E-01  1.362362E-03  6.069673E-02  2.485892E-05  3.004858E-03  3.329317E-03
 5.250000E-01  1.851587E-03  8.796364E-02  3.602582E-05  2.662381E-03  2.887393E-03
 6.300000E-01  2.486817E-03  1.293007E-01  5.295443E-05  2.334957E-03  2.457246E-03
 7.350000E-01  3.504441E-03  2.078123E-01  8.510556E-05  1.970128E-03  1.984415E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  4.735461E-04  1.640030E-02  6.717245E-06  4.332732E-03  5.221003E-03
 1.050000E-01  5.376313E-04  1.999515E-02  8.189514E-06  4.188405E-03  4.928605E-03
 2.100000E-01  7.139714E-04  2.922382E-02  1.196911E-05  3.796452E-03  4.326944E-03
 3.150000E-01  9.850549E-04  4.214015E-02  1.725905E-05  3.388309E-03  3.805338E-03
 4.200000E-01  1.362782E-03  6.081842E-02  2.490875E-05  3.005031E-03  3.327628E-03
 5.250000E-01  1.851199E-03  8.801483E-02  3.604678E-05  2.662629E-03  2.886900E-03
 6.300000E-01  2.486330E-03  1.292938E-01  5.295160E-05  2.335082E-03  2.457261E-03
 7.350000E-01  3.504510E-03  2.078045E-01  8.510237E-05  1.970115E-03  1.984439E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  4.767434E-04  1.627728E-02  6.666875E-06  4.324709E-03  5.236164E-03
 1.050000E-01  5.395529E-04  1.989988E-02  8.150506E-06  4.182465E-03  4.935322E-03
 2.100000E-01  7.141313E-04  2.919796E-02  1.195852E-05  3.794383E-03  4.326185E-03
 3.150000E-01  9.854868E-04  4.217422E-02  1.727301E-05  3.387789E-03  3.804284E-03
 4.200000E-01  1.364206E-03  6.090338E-02  2.494355E-05  3.004281E-03  3.326408E-03
 5.250000E-01  1.852481E-03  8.807420E-02  3.607109E-05  2.662186E-03  2.886438E-03
 6.300000E-01  2.486601E-03  1.292833E-01  5.294730E-05  2.335015E-03  2.457345E-03
 7.350000E-01  3.504755E-03  2.077881E-01  8.509564E-05  1.970083E-03  1.984505E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  4.848213E-04  1.650780E-02  6.761295E-06  4.320807E-03  5.236219E-03
 1.050000E-01  5.436442E-04  2.002395E-02  8.201325E-06  4.180643E-03  4.935374E-03
 2.100000E-01  7.134538E-04  2.917206E-02  1.194792E-05  3.794501E-03  4.326230E-03
 3.150000E-01  9.853027E-04  4.216957E-02  1.727110E-05  3.387890E-03  3.804300E-03
 4.200000E-01  1.363956E-03  6.089476E-02  2.494001E-05  3.004378E-03  3.326468E-03
 5.250000E-01  1.852358E-03  8.806470E-02  3.606720E-05  2.662199E-03  2.886492E-03
 6.300000E-01  2.486765E-03  1.292818E-01  5.294666E-05  2.334953E-03  2.457345E-03
 7.350000E-01  3.504965E-03  2.077841E-01  8.509399E-05  1.970031E-03  1.984506E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
