 ---------- DISTRIBUTION EFFICIENCY -------------
 N_proc  Eff(%)
 ------  ------
       8  100.00 ***
      16  100.00 ***
      24  100.00 ***
      32  100.00 ***
      40   96.00 **
      48  100.00 ***
      56   97.96 **
      64  100.00 ***
      72   95.73 **
      80   96.00 **
      88   95.45 **
      96  100.00 ***
     104   92.31 **
     112   96.00 **
     120   89.60 *
     128  100.00 ***
     136   94.12 **
     144   88.89 *
     152   84.21 *
     160   93.33 **
     168   88.89 *
     176   84.85 *
     184   81.16 *
     192  100.00 ***
     200   96.00 **
     208   92.31 **
     216   88.89 *
     224   85.71 *
     232   82.76 *
     240   80.00
     248   77.42
     256   95.45 **
     264   92.56 **
     272   89.84 *
     280   87.27 *
     288   84.85 *
     296   82.56 *
     304   80.38 *
     312   78.32
     320   76.36
     328   74.50
     336   72.73
     344   71.04
     352   69.42
     360   67.88
     368   66.40
     376   64.99
     384  100.00 ***
     392   97.96 **
     400   96.00 **
     408   94.12 **
     416   92.31 **
     424   90.57 **
     432   88.89 *
     440   87.27 *
     448   85.71 *
     456   84.21 *
     464   82.76 *
     472   81.36 *
     480   80.00
     488   78.69
     496   77.42
     504   76.19
     512   75.00
     520   73.85
     528   72.73
     536   71.64
     544   70.59
     552   69.57
     560   68.57
     568   67.61
     576   66.67
     584   65.75
     592   64.86
     600   64.00
     608   63.16
     616   62.34
     624   61.54
     632   60.76
     640   60.00
     648   59.26
     656   58.54
     664   57.83
     672   57.14
     680   56.47
     688   55.81
     696   55.17
     704   54.55
     712   53.93
     720   53.33
     728   52.75
     736   52.17
     744   51.61
     752   51.06
     760   50.53
     768   87.50 *
