 ----------------------------------------------------------------
  Sample output from GEO
 ----------------------------------------------------------------
 
n_theta =  101
 
 GEO_fluxsurfave_grad_r:   0.829000
 GEO_fluxsurfave_grad_r2:   0.783150
 GEO_volume:  18.173230
 GEO_volume_prime:  59.050503
 GEO_volume/circle_vol:   1.673862
 GEO_volume/circle_volp:   1.633715
 ffprime:  -0.130705
 f:   0.722796
 f/R0:   0.474267
 beta_star (beta_unit*dlnpdr):   0.138378
 
 
 theta       b           dbdt        dbdt2       g_theta     grad_r      
 5.0265E-01  4.1861E-01  1.7310E-02  2.6850E-02  5.9226E-01  1.3153E+00
 5.6549E-01  4.1976E-01  1.9073E-02  3.0038E-02  6.0124E-01  1.2876E+00
 6.2832E-01  4.2102E-01  2.1190E-02  3.8024E-02  6.1158E-01  1.2559E+00
 6.9115E-01  4.2243E-01  2.3929E-02  4.9618E-02  6.2350E-01  1.2205E+00
 7.5398E-01  4.2404E-01  2.7460E-02  6.2983E-02  6.3736E-01  1.1816E+00
 8.1681E-01  4.2590E-01  3.1847E-02  7.6806E-02  6.5376E-01  1.1396E+00
 8.7965E-01  4.2806E-01  3.7123E-02  9.1562E-02  6.7352E-01  1.0947E+00
 9.4248E-01  4.3059E-01  4.3428E-02  1.1016E-01  6.9764E-01  1.0468E+00
 1.0053E+00  4.3355E-01  5.1147E-02  1.3730E-01  7.2724E-01  9.9587E-01
 1.0681E+00  4.3706E-01  6.0963E-02  1.7739E-01  7.6337E-01  9.4197E-01
 1.1310E+00  4.4127E-01  7.3753E-02  2.3178E-01  8.0683E-01  8.8546E-01
 1.1938E+00  4.4641E-01  9.0332E-02  2.9707E-01  8.5792E-01  8.2719E-01
 1.2566E+00  4.5271E-01  1.1116E-01  3.6553E-01  9.1627E-01  7.6858E-01
 1.3195E+00  4.6046E-01  1.3613E-01  4.2745E-01  9.8059E-01  7.1148E-01
 1.3823E+00  4.6989E-01  1.6454E-01  4.7386E-01  1.0486E+00  6.5793E-01
 1.4451E+00  4.8118E-01  1.9520E-01  4.9806E-01  1.1172E+00  6.0999E-01
 1.5080E+00  4.9443E-01  2.2657E-01  4.9594E-01  1.1824E+00  5.6948E-01
 1.5708E+00  5.0963E-01  2.5693E-01  4.6564E-01  1.2400E+00  5.3779E-01
 1.6336E+00  5.2666E-01  2.8449E-01  4.0740E-01  1.2858E+00  5.1578E-01
 1.6965E+00  5.4529E-01  3.0758E-01  3.2377E-01  1.3166E+00  5.0366E-01
 1.7593E+00  5.6519E-01  3.2475E-01  2.2011E-01  1.3302E+00  5.0096E-01
 1.8221E+00  5.8596E-01  3.3499E-01  1.0472E-01  1.3264E+00  5.0664E-01
 1.8850E+00  6.0713E-01  3.3788E-01 -1.1868E-02  1.3064E+00  5.1919E-01
 1.9478E+00  6.2827E-01  3.3371E-01 -1.1834E-01  1.2732E+00  5.3688E-01
 2.0106E+00  6.4894E-01  3.2344E-01 -2.0459E-01  1.2309E+00  5.5786E-01
 2.0735E+00  6.6882E-01  3.0859E-01 -2.6354E-01  1.1841E+00  5.8040E-01
 2.1363E+00  6.8766E-01  2.9097E-01 -2.9237E-01  1.1371E+00  6.0294E-01
 2.1991E+00  7.0536E-01  2.7245E-01 -2.9350E-01  1.0936E+00  6.2434E-01
 2.2619E+00  7.2191E-01  2.5452E-01 -2.7486E-01  1.0562E+00  6.4389E-01
 2.3248E+00  7.3738E-01  2.3806E-01 -2.4884E-01  1.0262E+00  6.6141E-01
 2.3876E+00  7.5186E-01  2.2311E-01 -2.2905E-01  1.0035E+00  6.7710E-01
 2.4504E+00  7.6543E-01  2.0891E-01 -2.2583E-01  9.8724E-01  6.9132E-01
 2.5133E+00  7.7810E-01  1.9428E-01 -2.4273E-01  9.7552E-01  7.0446E-01
 2.5761E+00  7.8981E-01  1.7805E-01 -2.7588E-01  9.6640E-01  7.1674E-01
 2.6389E+00  8.0043E-01  1.5946E-01 -3.1591E-01  9.5805E-01  7.2821E-01
 2.7018E+00  8.0980E-01  1.3845E-01 -3.5147E-01  9.4919E-01  7.3876E-01
 2.7646E+00  8.1779E-01  1.1561E-01 -3.7278E-01  9.3923E-01  7.4816E-01
 2.8274E+00  8.2431E-01  9.2033E-02 -3.7465E-01  9.2830E-01  7.5619E-01
 2.8903E+00  8.2936E-01  6.8938E-02 -3.5802E-01  9.1720E-01  7.6266E-01
 2.9531E+00  8.3300E-01  4.7301E-02 -3.2971E-01  9.0712E-01  7.6748E-01
 3.0159E+00  8.3534E-01  2.7528E-02 -3.0040E-01  8.9936E-01  7.7064E-01
 3.0788E+00  8.3649E-01  9.3301E-03 -2.8106E-01  8.9502E-01  7.7221E-01
 3.1416E+00  8.3653E-01 -8.1743E-03 -2.7895E-01  8.9477E-01  7.7222E-01
 
 theta       gsin        gcos1       gcos2       gq          captheta    
 
-3.1416E+00 -1.7015E-02 -1.3702E+00 -1.1636E-01  1.0833E+00 -3.9205E+00
-3.0788E+00 -5.4315E-02 -1.3650E+00 -1.1642E-01  1.0841E+00 -3.8245E+00
-3.0159E+00 -9.4393E-02 -1.3549E+00 -1.1657E-01  1.0856E+00 -3.7151E+00
-2.9531E+00 -1.3823E-01 -1.3413E+00 -1.1681E-01  1.0880E+00 -3.5914E+00
-2.8903E+00 -1.8567E-01 -1.3260E+00 -1.1718E-01  1.0910E+00 -3.4541E+00
-2.8274E+00 -2.3557E-01 -1.3100E+00 -1.1770E-01  1.0945E+00 -3.3060E+00
-2.7646E+00 -2.8625E-01 -1.2940E+00 -1.1843E-01  1.0983E+00 -3.1512E+00
-2.7018E+00 -3.3596E-01 -1.2779E+00 -1.1938E-01  1.1020E+00 -2.9946E+00
-2.6389E+00 -3.8340E-01 -1.2612E+00 -1.2057E-01  1.1056E+00 -2.8400E+00
-2.5761E+00 -4.2814E-01 -1.2426E+00 -1.2198E-01  1.1088E+00 -2.6898E+00
-2.5133E+00 -4.7087E-01 -1.2205E+00 -1.2360E-01  1.1120E+00 -2.5438E+00
-2.4504E+00 -5.1342E-01 -1.1925E+00 -1.2537E-01  1.1157E+00 -2.3989E+00
-2.3876E+00 -5.5822E-01 -1.1564E+00 -1.2721E-01  1.1207E+00 -2.2499E+00
-2.3248E+00 -6.0752E-01 -1.1106E+00 -1.2905E-01  1.1276E+00 -2.0907E+00
-2.2619E+00 -6.6261E-01 -1.0541E+00 -1.3087E-01  1.1373E+00 -1.9166E+00
-2.1991E+00 -7.2338E-01 -9.8593E-01 -1.3268E-01  1.1499E+00 -1.7260E+00
-2.1363E+00 -7.8839E-01 -9.0492E-01 -1.3459E-01  1.1647E+00 -1.5217E+00
-2.0735E+00 -8.5498E-01 -8.0896E-01 -1.3684E-01  1.1798E+00 -1.3097E+00
-2.0106E+00 -9.1930E-01 -6.9558E-01 -1.3978E-01  1.1923E+00 -1.0974E+00
-1.9478E+00 -9.7615E-01 -5.6288E-01 -1.4388E-01  1.1981E+00 -8.9185E-01
-1.8850E+00 -1.0190E+00 -4.1091E-01 -1.4974E-01  1.1925E+00 -6.9820E-01
-1.8221E+00 -1.0409E+00 -2.4284E-01 -1.5808E-01  1.1710E+00 -5.1927E-01
-1.7593E+00 -1.0357E+00 -6.5556E-02 -1.6970E-01  1.1309E+00 -3.5569E-01
-1.6965E+00 -1.0005E+00  1.1110E-01 -1.8538E-01  1.0723E+00 -2.0656E-01
-1.6336E+00 -9.3667E-01  2.7657E-01 -2.0578E-01  9.9897E-01 -7.0229E-02
-1.5708E+00 -8.5010E-01  4.2223E-01 -2.3126E-01  9.1706E-01  5.5026E-02
-1.5080E+00 -7.4913E-01  5.4311E-01 -2.6176E-01  8.3334E-01  1.7045E-01
-1.4451E+00 -6.4273E-01  6.3791E-01 -2.9680E-01  7.5341E-01  2.7655E-01
-1.3823E+00 -5.3893E-01  7.0800E-01 -3.3545E-01  6.8096E-01  3.7302E-01
-1.3195E+00 -4.4404E-01  7.5629E-01 -3.7648E-01  6.1768E-01  4.5877E-01
-1.2566E+00 -3.6217E-01  7.8645E-01 -4.1857E-01  5.6385E-01  5.3220E-01
-1.1938E+00 -2.9492E-01  8.0257E-01 -4.6048E-01  5.1877E-01  5.9177E-01
-1.1310E+00 -2.4148E-01  8.0891E-01 -5.0128E-01  4.8130E-01  6.3656E-01
-1.0681E+00 -1.9919E-01  8.0957E-01 -5.4039E-01  4.5016E-01  6.6666E-01
-1.0053E+00 -1.6476E-01  8.0800E-01 -5.7754E-01  4.2409E-01  6.8317E-01
-9.4248E-01 -1.3540E-01  8.0653E-01 -6.1271E-01  4.0204E-01  6.8783E-01
-8.7965E-01 -1.0962E-01  8.0631E-01 -6.4592E-01  3.8316E-01  6.8246E-01
-8.1681E-01 -8.7169E-02  8.0752E-01 -6.7719E-01  3.6687E-01  6.6857E-01
-7.5398E-01 -6.8611E-02  8.0980E-01 -7.0645E-01  3.5274E-01  6.4715E-01
-6.9115E-01 -5.4641E-02  8.1266E-01 -7.3358E-01  3.4053E-01  6.1877E-01
-6.2832E-01 -4.5573E-02  8.1576E-01 -7.5840E-01  3.3004E-01  5.8371E-01
-5.6549E-01 -4.1069E-02  8.1899E-01 -7.8076E-01  3.2114E-01  5.4225E-01
-5.0265E-01 -4.0141E-02  8.2246E-01 -8.0057E-01  3.1371E-01  4.9480E-01
-4.3982E-01 -4.1356E-02  8.2642E-01 -8.1779E-01  3.0762E-01  4.4201E-01
-3.7699E-01 -4.3142E-02  8.3112E-01 -8.3243E-01  3.0274E-01  3.8471E-01
-3.1416E-01 -4.4091E-02  8.3670E-01 -8.4456E-01  2.9893E-01  3.2389E-01
-2.5133E-01 -4.3173E-02  8.4317E-01 -8.5425E-01  2.9607E-01  2.6056E-01
-1.8850E-01 -3.9820E-02  8.5034E-01 -8.6159E-01  2.9406E-01  1.9570E-01
-1.2566E-01 -3.3900E-02  8.5791E-01 -8.6663E-01  2.9280E-01  1.3018E-01
-6.2832E-02 -2.5621E-02  8.6544E-01 -8.6941E-01  2.9223E-01  6.4744E-02
 4.4409E-16 -1.5427E-02  8.7245E-01 -8.6997E-01  2.9229E-01  0.0000E+00
 6.2832E-02 -3.9116E-03  8.7839E-01 -8.6831E-01  2.9297E-01 -6.3568E-02
 1.2566E-01  8.2420E-03  8.8269E-01 -8.6441E-01  2.9426E-01 -1.2559E-01
 1.8850E-01  2.0318E-02  8.8486E-01 -8.5824E-01  2.9620E-01 -1.8576E-01
 2.5133E-01  3.1642E-02  8.8451E-01 -8.4977E-01  2.9883E-01 -2.4386E-01
 3.1416E-01  4.1688E-02  8.8146E-01 -8.3892E-01  3.0224E-01 -2.9963E-01
 3.7699E-01  5.0217E-02  8.7576E-01 -8.2563E-01  3.0652E-01 -3.5278E-01
 4.3982E-01  5.7399E-02  8.6771E-01 -8.0983E-01  3.1181E-01 -4.0295E-01
 5.0265E-01  6.3864E-02  8.5782E-01 -7.9147E-01  3.1826E-01 -4.4968E-01
 5.6549E-01  7.0621E-02  8.4673E-01 -7.7054E-01  3.2601E-01 -4.9245E-01
 6.2832E-01  7.8840E-02  8.3519E-01 -7.4708E-01  3.3524E-01 -5.3075E-01
 6.9115E-01  8.9564E-02  8.2406E-01 -7.2116E-01  3.4613E-01 -5.6402E-01
 7.5398E-01  1.0346E-01  8.1429E-01 -6.9293E-01  3.5887E-01 -5.9167E-01
 8.1681E-01  1.2075E-01  8.0683E-01 -6.6249E-01  3.7371E-01 -6.1288E-01
 8.7965E-01  1.4152E-01  8.0244E-01 -6.2995E-01  3.9103E-01 -6.2649E-01
 9.4248E-01  1.6616E-01  8.0124E-01 -5.9534E-01  4.1134E-01 -6.3087E-01
 1.0053E+00  1.9598E-01  8.0228E-01 -5.5866E-01  4.3535E-01 -6.2403E-01
 1.0681E+00  2.3338E-01  8.0327E-01 -5.1998E-01  4.6398E-01 -6.0394E-01
 1.1310E+00  2.8148E-01  8.0062E-01 -4.7949E-01  4.9836E-01 -5.6904E-01
 1.1938E+00  3.4307E-01  7.8986E-01 -4.3770E-01  5.3966E-01 -5.1864E-01
 1.2566E+00  4.1949E-01  7.6626E-01 -3.9543E-01  5.8902E-01 -4.5317E-01
 1.3195E+00  5.0983E-01  7.2530E-01 -3.5384E-01  6.4719E-01 -3.7389E-01
 1.3823E+00  6.1065E-01  6.6300E-01 -3.1421E-01  7.1419E-01 -2.8243E-01
