 ----------------------------------------------------------------
  Sample output from GEO
 ----------------------------------------------------------------
 
n_theta =  101
 
 GEO_fluxsurfave_grad_r:   0.829000
 GEO_fluxsurfave_grad_r2:   0.783150
 GEO_volume:  18.173230
 GEO_volume_prime:  59.050503
 GEO_volume/circle_vol:   1.673862
 GEO_volume/circle_volp:   1.633715
 ffprime:  -0.130705
 f:   0.722796
 f/R0:   0.474267
 beta_star (beta_unit*dlnpdr):   0.138378
 
 
 theta       b           dbdt        dbdt2       g_theta     grad_r      
 5.0265E-01  3.2764E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.6549E-01  3.6882E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.2832E-01  4.1067E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.9115E-01  4.5329E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 7.5398E-01  4.9679E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 8.1681E-01  5.4134E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 8.7965E-01  5.8714E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 9.4248E-01  6.3445E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.0053E+00  6.8362E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.0681E+00  7.3506E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.1310E+00  7.8924E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.1938E+00  8.4668E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.2566E+00  9.0790E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.3195E+00  9.7335E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.3823E+00  1.0434E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.4451E+00  1.1181E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.5080E+00  1.1975E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.5708E+00  1.2810E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.6336E+00  1.3682E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.6965E+00  1.4580E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.7593E+00  1.5493E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.8221E+00  1.6410E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.8850E+00  1.7318E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.9478E+00  1.8208E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.0106E+00  1.9073E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.0735E+00  1.9906E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.1363E+00  2.0707E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.1991E+00  2.1476E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.2619E+00  2.2218E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.3248E+00  2.2937E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.3876E+00  2.3637E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.4504E+00  2.4324E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.5133E+00  2.5001E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.5761E+00  2.5671E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.6389E+00  2.6335E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.7018E+00  2.6994E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.7646E+00  2.7645E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.8274E+00  2.8290E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.8903E+00  2.8926E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.9531E+00  2.9556E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.0159E+00  3.0179E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.0788E+00  3.0798E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.1416E+00  3.1416E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
