 ---------- DISTRIBUTION EFFICIENCY -------------
 N_proc  Eff(%)
 ------  ------
       2  100.00 ***
       4  100.00 ***
       6  100.00 ***
       8  100.00 ***
      10   96.00 **
      12  100.00 ***
      14   97.96 **
      16  100.00 ***
      18   88.89 *
      20   96.00 **
      22   87.27 *
      24  100.00 ***
      26   92.31 **
      28   85.71 *
      30   80.00 *
      32  100.00 ***
      34   94.12 **
      36   88.89 *
      38   84.21 *
      40   80.00 *
      42   76.19
      44   72.73
      46   69.57
      48  100.00 ***
      50   96.00 **
      52   92.31 **
      54   88.89 *
      56   85.71 *
      58   82.76 *
      60   80.00 *
      62   77.42
      64   75.00
      66   72.73
      68   70.59
      70   68.57
      72   66.67
      74   64.86
      76   63.16
      78   61.54
      80   60.00
      82   58.54
      84   57.14
      86   55.81
      88   54.55
      90   53.33
      92   52.17
      94   51.06
      96  100.00 ***
