 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 4.331E-02 1.858E-02 4.507E-02 3.433E-03 1.199E-01 9.428E-02 7.841E-02 2.796E-03 4.071E-01
 0.000E+00 0.000E+00 4.324E-02 1.878E-02 4.495E-02 3.435E-03 1.191E-01 9.551E-02 7.743E-02 2.881E-03 4.066E-01
 0.000E+00 0.000E+00 4.328E-02 1.891E-02 4.576E-02 3.450E-03 1.176E-01 9.856E-02 7.703E-02 2.806E-03 4.087E-01
 0.000E+00 0.000E+00 4.310E-02 1.875E-02 4.676E-02 3.418E-03 1.174E-01 9.484E-02 7.854E-02 2.798E-03 4.069E-01
 0.000E+00 0.000E+00 4.329E-02 1.853E-02 4.616E-02 3.410E-03 1.174E-01 9.729E-02 7.690E-02 2.860E-03 4.071E-01
 0.000E+00 0.000E+00 4.315E-02 1.873E-02 4.422E-02 5.204E-03 1.181E-01 9.368E-02 7.695E-02 2.842E-03 4.041E-01
 0.000E+00 0.000E+00 4.330E-02 1.883E-02 4.832E-02 3.421E-03 1.191E-01 9.667E-02 7.726E-02 2.848E-03 4.110E-01
 0.000E+00 0.000E+00 4.307E-02 1.906E-02 4.535E-02 3.417E-03 1.200E-01 9.625E-02 7.799E-02 2.851E-03 4.093E-01
 0.000E+00 0.000E+00 4.328E-02 1.862E-02 4.519E-02 3.436E-03 1.175E-01 9.782E-02 7.695E-02 2.807E-03 4.069E-01
 0.000E+00 0.000E+00 4.298E-02 1.872E-02 4.551E-02 3.426E-03 1.195E-01 9.484E-02 7.736E-02 2.812E-03 4.064E-01
 0.000E+00 0.000E+00 4.335E-02 1.878E-02 4.699E-02 3.363E-03 1.242E-01 9.041E-02 7.693E-02 7.223E-02 4.776E-01
 0.000E+00 0.000E+00 4.308E-02 1.905E-02 4.558E-02 3.453E-03 1.192E-01 9.550E-02 7.706E-02 2.795E-03 4.070E-01
 0.000E+00 0.000E+00 4.315E-02 1.869E-02 4.436E-02 3.372E-03 1.170E-01 9.664E-02 7.770E-02 2.828E-03 4.050E-01
 0.000E+00 0.000E+00 4.312E-02 1.878E-02 4.588E-02 3.374E-03 1.188E-01 9.436E-02 7.771E-02 2.834E-03 4.061E-01
 0.000E+00 0.000E+00 4.319E-02 1.920E-02 4.522E-02 3.360E-03 1.172E-01 9.808E-02 7.707E-02 2.807E-03 4.074E-01
