 r/a           mflux_tot     mflux_target
               (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00
 1.062500E-01  2.938252E-08  0.000000E+00
 1.593750E-01  1.382188E-07  0.000000E+00
 2.125000E-01 -1.459530E-06  0.000000E+00
 2.656250E-01 -2.519341E-06  0.000000E+00
 3.187500E-01 -3.905628E-06  0.000000E+00
 3.718750E-01 -4.526549E-06  0.000000E+00
 4.250000E-01 -5.574766E-06  0.000000E+00
 4.781250E-01 -9.017547E-06  0.000000E+00
 5.312500E-01 -1.669261E-05  0.000000E+00
 5.843750E-01 -2.770410E-05  0.000000E+00
 6.375000E-01 -2.152825E-05  0.000000E+00
 6.906250E-01 -7.642936E-06  0.000000E+00
 7.437500E-01  1.175059E-05  0.000000E+00
 7.968750E-01  4.674045E-05  0.000000E+00
 8.500000E-01  3.937646E-05  0.000000E+00
 r/a           mflux_tot     mflux_target
               (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00
 1.062500E-01  3.075753E-09  0.000000E+00
 1.593750E-01  1.272109E-08  0.000000E+00
 2.125000E-01 -1.087218E-06  0.000000E+00
 2.656250E-01 -2.734982E-06  0.000000E+00
 3.187500E-01 -3.837531E-06  0.000000E+00
 3.718750E-01 -4.595184E-06  0.000000E+00
 4.250000E-01 -6.137069E-06  0.000000E+00
 4.781250E-01 -1.105273E-05  0.000000E+00
 5.312500E-01 -1.927327E-05  0.000000E+00
 5.843750E-01 -2.850996E-05  0.000000E+00
 6.375000E-01 -2.528454E-05  0.000000E+00
 6.906250E-01 -1.058549E-05  0.000000E+00
 7.437500E-01  3.135012E-06  0.000000E+00
 7.968750E-01  6.586012E-05  0.000000E+00
 8.500000E-01  9.671982E-05  0.000000E+00
