 r/a           eflux_i_tot   eflux_i_targeteflux_e_tot   eflux_e_targetpflux_e_tot   pflux_e_target
               (GB)          (GB)          (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  5.034335E-02  6.571732E-02  5.841498E-03  3.030043E-02  2.181047E-03  0.000000E+00
 1.062500E-01  5.329639E-02  1.421548E-01  5.800966E-03  6.638683E-02  2.069864E-03  0.000000E+00
 1.593750E-01  1.590068E-01  2.402988E-01  3.245306E-02  1.144719E-01  6.562607E-03  0.000000E+00
 2.125000E-01  3.364788E-01  3.783119E-01  8.862408E-02  1.855206E-01  2.768389E-02  0.000000E+00
 2.656250E-01  6.834395E-01  5.805994E-01  1.793805E-01  2.963031E-01  3.520415E-02  0.000000E+00
 3.187500E-01  1.140311E+00  8.904333E-01  3.936739E-01  4.791800E-01  3.840214E-02  0.000000E+00
 3.718750E-01  1.773695E+00  1.381138E+00  9.114961E-01  7.949429E-01  6.332433E-02  0.000000E+00
 4.250000E-01  2.439041E+00  2.153233E+00  1.820978E+00  1.341904E+00  1.606710E-01  0.000000E+00
 4.781250E-01  3.116761E+00  3.322102E+00  2.608713E+00  2.260574E+00  3.037260E-01  0.000000E+00
 5.312500E-01  4.357010E+00  5.086251E+00  3.727414E+00  3.793514E+00  2.557299E-01  0.000000E+00
 5.843750E-01  6.225092E+00  7.730873E+00  4.830486E+00  6.308251E+00  4.948774E-02  0.000000E+00
 6.375000E-01  7.887869E+00  1.193490E+01  6.467000E+00  1.059719E+01 -3.030212E-01  0.000000E+00
 6.906250E-01  9.944109E+00  1.910220E+01  9.169718E+00  1.836515E+01 -7.201058E-01  0.000000E+00
 7.437500E-01  1.367971E+01  3.286990E+01  1.309718E+01  3.414048E+01 -1.043507E+00  0.000000E+00
 7.968750E-01  2.212425E+01  6.283771E+01  2.017888E+01  7.071148E+01 -1.607058E+00  0.000000E+00
 8.500000E-01  4.149742E+01  1.398681E+02  3.525511E+01  1.725912E+02 -2.363013E+00  0.000000E+00
 r/a           eflux_i_tot   eflux_i_targeteflux_e_tot   eflux_e_targetpflux_e_tot   pflux_e_target
               (GB)          (GB)          (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  4.341374E-02  6.631279E-02  3.094022E-03  3.057499E-02  8.795401E-04  0.000000E+00
 1.062500E-01  4.536536E-02  1.413193E-01  3.244365E-03  6.599663E-02  7.933739E-04  0.000000E+00
 1.593750E-01  1.639453E-01  2.375165E-01  3.743151E-02  1.131464E-01  9.458231E-03  0.000000E+00
 2.125000E-01  3.606985E-01  3.735278E-01  8.528148E-02  1.831745E-01  8.330883E-03  0.000000E+00
 2.656250E-01  6.569522E-01  5.718100E-01  1.797980E-01  2.918175E-01  3.949516E-02  0.000000E+00
 3.187500E-01  1.215360E+00  8.768100E-01  4.294865E-01  4.718488E-01  3.846391E-02  0.000000E+00
 3.718750E-01  1.928901E+00  1.356109E+00  9.059485E-01  7.805367E-01  3.909002E-02  0.000000E+00
 4.250000E-01  2.694089E+00  2.098292E+00  1.483489E+00  1.307665E+00  1.020669E-02  0.000000E+00
 4.781250E-01  3.297724E+00  3.215163E+00  2.339816E+00  2.187806E+00  1.454646E-01  0.000000E+00
 5.312500E-01  4.998518E+00  4.899166E+00  3.410435E+00  3.653979E+00  7.856915E-02  0.000000E+00
 5.843750E-01  6.816594E+00  7.417846E+00  4.680576E+00  6.052826E+00 -1.477613E-01  0.000000E+00
 6.375000E-01  8.493544E+00  1.141735E+01  6.214626E+00  1.013765E+01 -5.004652E-01  0.000000E+00
 6.906250E-01  1.031968E+01  1.823138E+01  8.830637E+00  1.752793E+01 -9.587759E-01  0.000000E+00
 7.437500E-01  1.333237E+01  3.102040E+01  1.115685E+01  3.221949E+01 -1.884865E+00  0.000000E+00
 7.968750E-01  2.181122E+01  5.859800E+01  1.878281E+01  6.594052E+01 -2.130042E+00  0.000000E+00
 8.500000E-01  7.948555E+01  1.398681E+02  5.135693E+01  1.725912E+02 -4.062322E+00  0.000000E+00
