 r/a           mflux_i_neo   mflux_i_tur   expwd_i_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  2.938051E-08  0.000000E+00
 1.593750E-01  0.000000E+00  1.380676E-07  0.000000E+00
 2.125000E-01  0.000000E+00 -1.461176E-06  0.000000E+00
 2.656250E-01  0.000000E+00 -2.524772E-06  0.000000E+00
 3.187500E-01  0.000000E+00 -3.921055E-06  0.000000E+00
 3.718750E-01  0.000000E+00 -4.559019E-06  0.000000E+00
 4.250000E-01  0.000000E+00 -5.627018E-06  0.000000E+00
 4.781250E-01  0.000000E+00 -9.100160E-06  0.000000E+00
 5.312500E-01  0.000000E+00 -1.683432E-05  0.000000E+00
 5.843750E-01  0.000000E+00 -2.794279E-05  0.000000E+00
 6.375000E-01  0.000000E+00 -2.190432E-05  0.000000E+00
 6.906250E-01  0.000000E+00 -8.259644E-06  0.000000E+00
 7.437500E-01  0.000000E+00  1.071695E-05  0.000000E+00
 7.968750E-01  0.000000E+00  4.543371E-05  0.000000E+00
 8.500000E-01  0.000000E+00  3.364546E-05  0.000000E+00
 r/a           mflux_i_neo   mflux_i_tur   expwd_i_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  3.074397E-09  0.000000E+00
 1.593750E-01  0.000000E+00  1.255651E-08  0.000000E+00
 2.125000E-01  0.000000E+00 -1.088837E-06  0.000000E+00
 2.656250E-01  0.000000E+00 -2.740618E-06  0.000000E+00
 3.187500E-01  0.000000E+00 -3.853859E-06  0.000000E+00
 3.718750E-01  0.000000E+00 -4.628455E-06  0.000000E+00
 4.250000E-01  0.000000E+00 -6.190351E-06  0.000000E+00
 4.781250E-01  0.000000E+00 -1.113842E-05  0.000000E+00
 5.312500E-01  0.000000E+00 -1.940645E-05  0.000000E+00
 5.843750E-01  0.000000E+00 -2.874273E-05  0.000000E+00
 6.375000E-01  0.000000E+00 -2.566272E-05  0.000000E+00
 6.906250E-01  0.000000E+00 -1.119938E-05  0.000000E+00
 7.437500E-01  0.000000E+00  2.202580E-06  0.000000E+00
 7.968750E-01  0.000000E+00  6.506838E-05  0.000000E+00
 8.500000E-01  0.000000E+00  8.993032E-05  0.000000E+00
