 r/a           pflux_e_neo   pflux_e_tur   eflux_e_neo   eflux_e_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  2.181047E-03  0.000000E+00  5.841498E-03  0.000000E+00
 1.062500E-01  1.907787E-03  1.620773E-04  4.970274E-03  8.306921E-04
 1.593750E-01  1.755941E-03  4.806666E-03  4.596355E-03  2.785671E-02
 2.125000E-01  1.700456E-03  2.598343E-02  4.510392E-03  8.411369E-02
 2.656250E-01  1.692934E-03  3.351122E-02  4.558739E-03  1.748217E-01
 3.187500E-01  1.723825E-03  3.667832E-02  4.714392E-03  3.889595E-01
 3.718750E-01  1.803156E-03  6.152118E-02  4.994639E-03  9.065015E-01
 4.250000E-01  1.927671E-03  1.587434E-01  5.374183E-03  1.815604E+00
 4.781250E-01  2.066818E-03  3.016592E-01  5.800974E-03  2.602912E+00
 5.312500E-01  2.224460E-03  2.535054E-01  6.429379E-03  3.720984E+00
 5.843750E-01  2.533963E-03  4.695377E-02  7.589412E-03  4.822897E+00
 6.375000E-01  3.171853E-03 -3.061930E-01  9.854080E-03  6.457145E+00
 6.906250E-01  4.503065E-03 -7.246089E-01  1.446730E-02  9.155251E+00
 7.437500E-01  7.550934E-03 -1.051058E+00  2.452732E-02  1.307266E+01
 7.968750E-01  1.526873E-02 -1.622327E+00  4.873829E-02  2.013014E+01
 8.500000E-01  3.814042E-02 -2.401153E+00  1.180954E-01  3.513702E+01
 r/a           pflux_e_neo   pflux_e_tur   eflux_e_neo   eflux_e_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.795401E-04  0.000000E+00  3.094022E-03  0.000000E+00
 1.062500E-01  8.955814E-04 -1.022075E-04  3.034796E-03  2.095683E-04
 1.593750E-01  1.717031E-03  7.741201E-03  4.321150E-03  3.311036E-02
 2.125000E-01  1.303066E-03  7.027817E-03  3.674730E-03  8.160675E-02
 2.656250E-01  1.527540E-03  3.796762E-02  4.075994E-03  1.757221E-01
 3.187500E-01  1.491537E-03  3.697237E-02  4.116996E-03  4.253695E-01
 3.718750E-01  1.508948E-03  3.758107E-02  4.288421E-03  9.016601E-01
 4.250000E-01  1.503965E-03  8.702726E-03  4.460165E-03  1.479028E+00
 4.781250E-01  1.682061E-03  1.437825E-01  4.933606E-03  2.334882E+00
 5.312500E-01  1.798685E-03  7.677047E-02  5.473657E-03  3.404961E+00
 5.843750E-01  2.069234E-03 -1.498305E-01  6.523050E-03  4.674053E+00
 6.375000E-01  2.568820E-03 -5.030340E-01  8.478448E-03  6.206148E+00
 6.906250E-01  3.675023E-03 -9.624509E-01  1.255789E-02  8.818079E+00
 7.437500E-01  4.916417E-03 -1.889781E+00  1.933309E-02  1.113752E+01
 7.968750E-01  1.275559E-02 -2.142798E+00  4.319934E-02  1.873961E+01
 8.500000E-01  4.238917E-02 -4.104711E+00  1.335680E-01  5.122337E+01
