 r/a           Di_neo        Di_tur        chii_neo      chii_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.907179E-03  0.000000E+00  1.476769E-01  0.000000E+00
 1.062500E-01  4.089208E-03  3.474014E-04  7.400424E-02  8.425308E-03
 1.593750E-01  2.650009E-03  7.254065E-03  5.098465E-02  1.222790E-01
 2.125000E-01  2.032857E-03  3.106262E-02  4.069690E-02  2.486450E-01
 2.656250E-01  1.715666E-03  3.396119E-02  3.525446E-02  4.621975E-01
 3.187500E-01  1.557208E-03  3.313317E-02  3.247174E-02  7.085985E-01
 3.718750E-01  1.511296E-03  5.156331E-02  3.167606E-02  1.056459E+00
 4.250000E-01  1.564555E-03  1.288408E-01  3.267046E-02  1.479663E+00
 4.781250E-01  1.711008E-03  2.497275E-01  3.514556E-02  1.968816E+00
 5.312500E-01  1.973942E-03  2.249557E-01  3.920962E-02  2.835800E+00
 5.843750E-01  2.425470E-03  4.494342E-02  4.580118E-02  4.077595E+00
 6.375000E-01  3.217327E-03 -3.105828E-01  5.646251E-02  4.947095E+00
 6.906250E-01  4.704429E-03 -7.570114E-01  7.417662E-02  5.535902E+00
 7.437500E-01  7.735011E-03 -1.076681E+00  1.056790E-01  6.170558E+00
 7.968750E-01  1.434873E-02 -1.524576E+00  1.667517E-01  7.460989E+00
 8.500000E-01  3.023501E-02 -1.903463E+00  3.006398E-01  9.419098E+00
 r/a           Di_neo        Di_tur        chii_neo      chii_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.467599E-01  0.000000E+00  1.278847E-01  0.000000E+00
 1.062500E-01  5.568565E-03 -6.355079E-04  6.455497E-02  5.900627E-03
 1.593750E-01  2.261741E-03  1.019702E-02  4.577269E-02  1.336016E-01
 2.125000E-01  1.811749E-03  9.771296E-03  3.607230E-02  2.753162E-01
 2.656250E-01  1.491081E-03  3.706142E-02  3.146335E-02  4.484810E-01
 3.187500E-01  1.354915E-03  3.358577E-02  2.887527E-02  7.637366E-01
 3.718750E-01  1.317587E-03  3.281512E-02  2.813034E-02  1.158989E+00
 4.250000E-01  1.374849E-03  7.955591E-03  2.900168E-02  1.646684E+00
 4.781250E-01  1.511582E-03  1.292100E-01  3.140868E-02  2.095852E+00
 5.312500E-01  1.757277E-03  7.500310E-02  3.519694E-02  3.273508E+00
 5.843750E-01  2.176323E-03 -1.575847E-01  4.133662E-02  4.487055E+00
 6.375000E-01  2.930121E-03 -5.737850E-01  5.123210E-02  5.350175E+00
 6.906250E-01  4.372900E-03 -1.145218E+00  6.780006E-02  5.765385E+00
 7.437500E-01  8.886044E-03 -3.415634E+00  9.689019E-02  6.029923E+00
 7.968750E-01  1.489517E-02 -2.502224E+00  1.570008E-01  7.370543E+00
 8.500000E-01  3.360311E-02 -3.253922E+00  2.974784E-01  1.387561E+01
