 r/a           mflux_e_neo   mflux_e_tur   expwd_e_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  2.010259E-12  0.000000E+00
 1.593750E-01  0.000000E+00  1.512018E-10  0.000000E+00
 2.125000E-01  0.000000E+00  1.646396E-09  0.000000E+00
 2.656250E-01  0.000000E+00  5.431182E-09  0.000000E+00
 3.187500E-01  0.000000E+00  1.542702E-08  0.000000E+00
 3.718750E-01  0.000000E+00  3.247064E-08  0.000000E+00
 4.250000E-01  0.000000E+00  5.225141E-08  0.000000E+00
 4.781250E-01  0.000000E+00  8.261244E-08  0.000000E+00
 5.312500E-01  0.000000E+00  1.417010E-07  0.000000E+00
 5.843750E-01  0.000000E+00  2.386883E-07  0.000000E+00
 6.375000E-01  0.000000E+00  3.760696E-07  0.000000E+00
 6.906250E-01  0.000000E+00  6.167084E-07  0.000000E+00
 7.437500E-01  0.000000E+00  1.033646E-06  0.000000E+00
 7.968750E-01  0.000000E+00  1.306742E-06  0.000000E+00
 8.500000E-01  0.000000E+00  5.730999E-06  0.000000E+00
 r/a           mflux_e_neo   mflux_e_tur   expwd_e_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  1.356264E-12  0.000000E+00
 1.593750E-01  0.000000E+00  1.645738E-10  0.000000E+00
 2.125000E-01  0.000000E+00  1.618769E-09  0.000000E+00
 2.656250E-01  0.000000E+00  5.635731E-09  0.000000E+00
 3.187500E-01  0.000000E+00  1.632831E-08  0.000000E+00
 3.718750E-01  0.000000E+00  3.327121E-08  0.000000E+00
 4.250000E-01  0.000000E+00  5.328189E-08  0.000000E+00
 4.781250E-01  0.000000E+00  8.569142E-08  0.000000E+00
 5.312500E-01  0.000000E+00  1.331787E-07  0.000000E+00
 5.843750E-01  0.000000E+00  2.327667E-07  0.000000E+00
 6.375000E-01  0.000000E+00  3.781830E-07  0.000000E+00
 6.906250E-01  0.000000E+00  6.138810E-07  0.000000E+00
 7.437500E-01  0.000000E+00  9.324327E-07  0.000000E+00
 7.968750E-01  0.000000E+00  7.917455E-07  0.000000E+00
 8.500000E-01  0.000000E+00  6.789503E-06  0.000000E+00
