 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 1.476E-01 2.901E-02 1.166E-01 2.239E-02 1.408E-01 2.822E-01 2.092E-01 1.295E+09 9.609E-01
 0.000E+00 0.000E+00 1.846E-01 2.755E-02 1.563E-01 1.743E-03 1.782E-01 2.674E-01 1.600E-01 1.572E-02 9.928E-01
 0.000E+00 0.000E+00 9.910E-02 5.081E-02 1.022E-01 1.705E-03 2.545E-01 2.712E-01 1.874E-01 3.509E-03 9.798E-01
 0.000E+00 0.000E+00 1.353E-01 4.967E-02 1.312E-01 1.756E-03 1.475E-01 2.824E-01 1.709E-01 3.539E-03 9.316E-01
 0.000E+00 0.000E+00 1.665E-01 3.764E-02 1.683E-01 1.760E-03 1.904E-01 1.911E-01 1.680E-01 3.355E-03 9.287E-01
 0.000E+00 0.000E+00 1.102E-01 4.375E-02 1.215E-01 1.799E-03 1.581E-01 2.493E-01 2.338E-01 1.179E-02 9.316E-01
 0.000E+00 0.000E+00 1.614E-01 3.602E-02 1.305E-01 1.762E-03 1.777E-01 2.023E-01 2.081E-01 1.164E-02 9.308E-01
 0.000E+00 0.000E+00 1.373E-01 3.546E-02 1.263E-01 1.812E-03 1.932E-01 2.237E-01 2.097E-01 3.376E-03 9.321E-01
 0.000E+00 0.000E+00 1.869E-01 2.838E-02 1.713E-01 1.783E-03 1.511E-01 1.865E-01 1.963E-01 3.468E-03 9.274E-01
 0.000E+00 0.000E+00 1.636E-01 4.411E-02 1.600E-01 1.783E-03 1.573E-01 2.116E-01 1.718E-01 3.582E-03 9.151E-01
