 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 2.683E-01 4.076E-01 8.478E-01 2.203E-02 4.613E-01 8.473E-01 5.284E-01 1.102E-02 3.403E+00
 0.000E+00 0.000E+00 2.940E-01 4.023E-01 7.618E-01 2.482E-02 5.283E-01 1.044E+00 5.025E-01 8.632E-03 3.575E+00
 0.000E+00 0.000E+00 5.362E-01 6.843E-01 5.541E-01 3.590E-02 8.743E-01 2.321E+00 6.115E-01 1.842E-02 5.647E+00
 0.000E+00 0.000E+00 4.562E-01 5.611E-01 9.536E-01 3.484E-02 7.567E-01 1.562E+00 6.681E-01 1.859E-02 5.030E+00
 0.000E+00 0.000E+00 6.017E-01 7.981E-01 1.226E+00 4.441E-02 1.028E+00 2.090E+00 8.432E-01 1.600E-02 6.679E+00
 0.000E+00 0.000E+00 4.483E-01 5.357E-01 8.429E-01 3.382E-02 7.081E-01 1.412E+00 5.840E-01 1.617E-02 4.596E+00
 0.000E+00 0.000E+00 5.224E-01 5.888E-01 6.981E-01 3.215E-02 7.769E-01 1.908E+00 5.470E-01 7.673E-03 5.098E+00
 0.000E+00 0.000E+00 5.243E-01 5.726E-01 7.595E-01 3.341E-02 7.527E-01 1.810E+00 6.719E-01 1.297E-02 5.155E+00
 0.000E+00 0.000E+00 3.038E-01 4.373E-01 7.002E-01 2.506E-02 5.327E-01 1.104E+00 4.257E-01 8.151E-03 3.577E+00
 0.000E+00 0.000E+00 3.241E-01 4.165E-01 5.090E-01 2.513E-02 5.423E-01 1.277E+00 4.012E-01 8.555E-03 3.528E+00
 0.000E+00 0.000E+00 2.979E-01 4.133E-01 7.690E-01 2.499E-02 5.267E-01 1.051E+00 4.424E-01 3.575E-02 3.606E+00
 0.000E+00 0.000E+00 4.496E-01 5.910E-01 9.760E-01 3.546E-02 7.425E-01 1.545E+00 7.050E-01 1.859E-02 5.080E+00
 0.000E+00 0.000E+00 3.372E-01 4.452E-01 6.374E-01 2.643E-02 5.633E-01 1.316E+00 4.890E-01 1.245E-02 3.843E+00
 0.000E+00 0.000E+00 2.854E-01 3.895E-01 5.502E-01 2.379E-02 4.693E-01 1.067E+00 4.447E-01 8.959E-03 3.248E+00
 0.000E+00 0.000E+00 2.609E-01 4.266E-01 6.859E-01 2.433E-02 4.587E-01 9.187E-01 4.929E-01 1.211E-02 3.289E+00
 0.000E+00 0.000E+00 2.881E-01 3.993E-01 7.783E-01 2.581E-02 5.112E-01 9.836E-01 4.721E-01 7.486E-03 3.494E+00
 0.000E+00 0.000E+00 2.992E-01 3.939E-01 5.704E-01 2.293E-02 5.229E-01 1.164E+00 3.764E-01 3.854E-02 3.412E+00
 0.000E+00 0.000E+00 2.938E-01 4.872E-01 5.847E-01 2.253E-02 4.523E-01 1.008E+00 3.807E-01 6.618E-03 3.261E+00
 0.000E+00 0.000E+00 2.912E-01 2.947E-01 3.414E-01 1.604E-02 3.816E-01 9.927E-01 3.050E-01 1.205E-02 2.642E+00
 0.000E+00 0.000E+00 3.028E-01 4.759E-01 9.514E-01 2.810E-02 5.278E-01 9.780E-01 5.797E-01 1.019E-02 3.864E+00
 0.000E+00 0.000E+00 2.444E-01 3.666E-01 5.649E-01 2.049E-02 4.112E-01 8.872E-01 4.364E-01 3.170E-02 2.970E+00
 0.000E+00 0.000E+00 3.131E-01 4.211E-01 5.950E-01 2.669E-02 5.317E-01 1.213E+00 4.620E-01 1.137E-02 3.584E+00
 0.000E+00 0.000E+00 2.987E-01 4.157E-01 5.900E-01 2.539E-02 5.123E-01 1.110E+00 4.527E-01 1.165E-02 3.426E+00
 0.000E+00 0.000E+00 3.731E-01 4.666E-01 4.158E-01 2.637E-02 6.085E-01 1.606E+00 4.340E-01 1.560E-02 3.962E+00
