 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 4.906E-02 1.282E-02 2.773E-02 3.287E-03 7.097E-02 7.565E-02 4.706E-02 2.130E-03 2.900E-01
 0.000E+00 0.000E+00 4.645E-02 1.796E-02 2.719E-02 3.265E-03 7.124E-02 7.276E-02 4.725E-02 2.090E-03 2.895E-01
 0.000E+00 0.000E+00 4.534E-02 1.626E-02 2.789E-02 3.265E-03 7.098E-02 7.385E-02 4.790E-02 2.084E-03 2.888E-01
 0.000E+00 0.000E+00 4.556E-02 1.612E-02 2.784E-02 3.276E-03 7.162E-02 7.385E-02 4.682E-02 2.098E-03 2.884E-01
 0.000E+00 0.000E+00 4.715E-02 1.526E-02 2.802E-02 3.282E-03 7.100E-02 7.353E-02 4.702E-02 2.158E-03 2.887E-01
 0.000E+00 0.000E+00 4.517E-02 1.613E-02 2.791E-02 3.262E-03 7.082E-02 7.194E-02 5.109E-02 2.075E-03 2.896E-01
 0.000E+00 0.000E+00 4.506E-02 1.672E-02 2.784E-02 3.258E-03 7.108E-02 7.566E-02 4.697E-02 2.121E-03 2.900E-01
 0.000E+00 0.000E+00 4.518E-02 1.618E-02 2.805E-02 3.257E-03 7.116E-02 7.179E-02 5.109E-02 2.092E-03 2.900E-01
 0.000E+00 0.000E+00 4.509E-02 1.698E-02 2.828E-02 3.259E-03 7.122E-02 7.699E-02 4.807E-02 2.100E-03 2.933E-01
 0.000E+00 0.000E+00 4.509E-02 1.275E-02 2.687E-02 3.248E-03 7.106E-02 7.568E-02 5.104E-02 2.153E-03 2.891E-01
 0.000E+00 0.000E+00 4.476E-02 1.463E-02 2.688E-02 3.275E-03 7.101E-02 7.774E-02 4.704E-02 4.351E-02 3.301E-01
 0.000E+00 0.000E+00 4.541E-02 1.651E-02 2.985E-02 3.262E-03 7.106E-02 7.497E-02 4.695E-02 2.127E-03 2.914E-01
 0.000E+00 0.000E+00 4.486E-02 1.689E-02 2.690E-02 3.280E-03 7.117E-02 7.333E-02 5.102E-02 2.151E-03 2.908E-01
 0.000E+00 0.000E+00 4.496E-02 1.741E-02 2.709E-02 3.252E-03 7.107E-02 7.213E-02 5.122E-02 2.083E-03 2.905E-01
 0.000E+00 0.000E+00 4.520E-02 1.679E-02 2.835E-02 3.253E-03 7.114E-02 7.568E-02 4.681E-02 2.115E-03 2.906E-01
