 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 1.734E-01 5.751E-02 1.281E-01 2.411E-03 2.226E-01 2.065E-01 1.625E-01 1.295E+09 9.578E-01
 0.000E+00 0.000E+00 1.592E-01 4.720E-02 1.396E-01 1.818E-03 1.741E-01 1.935E-01 2.094E-01 1.424E-02 9.404E-01
 0.000E+00 0.000E+00 1.796E-01 3.892E-02 1.616E-01 1.767E-03 1.940E-01 2.248E-01 1.669E-01 3.441E-03 9.725E-01
 0.000E+00 0.000E+00 1.602E-01 4.082E-02 1.321E-01 1.770E-03 1.651E-01 2.392E-01 2.024E-01 3.545E-03 9.465E-01
 0.000E+00 0.000E+00 1.798E-01 3.678E-02 1.594E-01 1.800E-03 1.776E-01 2.280E-01 1.375E-01 3.472E-03 9.357E-01
 0.000E+00 0.000E+00 1.526E-01 3.704E-02 1.515E-01 1.770E-03 1.811E-01 2.514E-01 1.615E-01 1.954E-02 9.578E-01
 0.000E+00 0.000E+00 1.483E-01 2.800E-02 1.444E-01 1.752E-03 1.719E-01 2.457E-01 1.904E-01 3.440E-03 9.352E-01
 0.000E+00 0.000E+00 1.485E-01 5.642E-02 1.933E-01 1.761E-03 1.341E-01 2.178E-01 2.057E-01 1.170E-02 9.707E-01
 0.000E+00 0.000E+00 1.417E-01 7.360E-02 1.516E-01 1.724E-03 2.039E-01 2.374E-01 1.691E-01 1.156E-02 9.920E-01
 0.000E+00 0.000E+00 1.399E-01 3.315E-02 1.981E-01 1.736E-03 1.516E-01 2.430E-01 2.062E-01 2.834E-03 9.896E-01
