psibar,psi[Wb],F[T.m],p[Pa],q,Te[eV],Ti[eV],ne[m^-3],ni[m^-3],A[m^2],V[m^3],OH[MWm^-3],Omega0[rad/s]
0.000000,1.367791E-01,2.191158E-01,2.519653E+03,1.36607,3.548155E+02,4.967417E+02,1.846785E+19,1.846785E+19,0E+00,0E+00,0.052576,-3.913522E+05
0.010221,1.354113E-01,2.186741E-01,2.48502E+03,1.36522,3.499529E+02,4.89934E+02,1.846709E+19,1.846709E+19,5.343871E-03,2.116406E-02,0.054611,-9.2802562E+05
0.020442,1.340435E-01,2.182169E-01,2.450149E+03,1.36164,3.450811E+02,4.831136E+02,1.8465E+19,1.8465E+19,1.070103E-02,4.235197E-02,0.056764,-1.4682406E+06
0.030662,1.326757E-01,2.177549E-01,2.415321E+03,1.35863,3.402387E+02,4.763342E+02,1.846159E+19,1.846159E+19,1.604379E-02,6.34546E-02,0.059018,-8.7219178E+05
0.040883,1.313079E-01,2.172881E-01,2.380543E+03,1.3557,3.354257E+02,4.69596E+02,1.845685E+19,1.845685E+19,2.136981E-02,8.446354E-02,0.061371,-6.0508799E+05
0.051104,1.299401E-01,2.168165E-01,2.345822E+03,1.35287,3.30642E+02,4.628988E+02,1.845078E+19,1.845078E+19,2.668141E-02,1.053874E-01,0.063822,-4.5071444E+05
0.061325,1.285724E-01,2.163399E-01,2.311165E+03,1.35002,3.258877E+02,4.562428E+02,1.844338E+19,1.844338E+19,3.197696E-02,1.2622E-01,0.066368,-3.4873733E+05
0.071545,1.272046E-01,2.158582E-01,2.27658E+03,1.34722,3.211628E+02,4.496279E+02,1.843465E+19,1.843465E+19,3.725945E-02,1.469744E-01,0.069005,-2.755121100000000000E+05
0.081766,1.258368E-01,2.153714E-01,2.242072E+03,1.34446,3.164669E+02,4.430536E+02,1.842461E+19,1.842461E+19,4.252875E-02,1.6765E-01,0.071728,-2.213887E+05
0.091987,1.24469E-01,2.148803E-01,2.207651E+03,1.3418,3.11801E+02,4.365214E+02,1.841321E+19,1.841321E+19,4.77788E-02,1.882214E-01,0.074532,-2.6450072E+05
0.102208,1.231012E-01,2.143841E-01,2.17332E+03,1.33921,3.07164E+02,4.300296E+02,1.84005E+19,1.84005E+19,5.301966E-02,2.087315E-01,0.077408,-3.3439549E+05
0.112429,1.217334E-01,2.138837E-01,2.139088E+03,1.33673,3.025564E+02,4.23579E+02,1.838646E+19,1.838646E+19,5.8246E-02,2.291575E-01,0.080348,-3.0051831E+05
0.122649,1.203656E-01,2.133789E-01,2.104961E+03,1.33437,2.979782E+02,4.171695E+02,1.83711E+19,1.83711E+19,6.346015E-02,2.49509E-01,0.083341,-2.6555983E+05
0.132870,1.189978E-01,2.128703E-01,2.070946E+03,1.33214,2.934294E+02,4.108012E+02,1.83544E+19,1.83544E+19,6.866106E-02,2.697836E-01,0.086378,-2.7177326E+05
0.143091,1.1763E-01,2.12358E-01,2.03705E+03,1.33012,2.889102E+02,4.044742E+02,1.833637E+19,1.833637E+19,7.385098E-02,2.899871E-01,0.089443,-2.8234442E+05
