 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.111E-02 4.053E-04 1.383E-02 7.622E-03 1.650E-02 1.393E-03 6.310E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.673E-02 3.929E-04 1.542E-02 9.322E-03 1.716E-02 1.402E-03 6.230E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.847E-02 3.901E-04 1.427E-02 9.610E-03 1.658E-02 1.438E-03 6.280E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.806E-02 3.903E-04 1.432E-02 9.946E-03 1.604E-02 1.401E-03 6.210E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.748E-02 3.989E-04 1.541E-02 1.146E-02 1.450E-02 1.416E-03 6.260E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.744E-02 3.910E-04 1.539E-02 1.144E-02 1.458E-02 1.395E-03 6.260E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.953E-02 3.960E-04 1.364E-02 7.421E-03 1.830E-02 1.400E-03 6.270E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.834E-02 4.001E-04 1.562E-02 1.156E-02 1.472E-02 1.410E-03 6.400E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.965E-02 3.963E-04 1.383E-02 1.066E-02 1.429E-02 1.402E-03 6.220E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.784E-02 1.044E-03 1.377E-02 1.022E-02 1.599E-02 1.411E-03 6.220E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.672E-02 3.970E-04 1.592E-02 1.095E-02 1.358E-02 2.425E-02 8.390E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.077E-02 3.884E-04 1.372E-02 9.027E-03 1.544E-02 1.428E-03 6.270E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.070E-02 3.967E-04 1.375E-02 7.357E-03 1.707E-02 1.392E-03 6.270E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.861E-02 3.941E-04 1.443E-02 1.179E-02 1.430E-02 1.403E-03 6.290E-02
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.243E-02 4.632E-04 1.368E-02 7.345E-03 1.521E-02 1.413E-03 6.240E-02
