 ---------- DISTRIBUTION EFFICIENCY -------------
 N_proc  Eff(%)
 ------  ------
       1  100.00 ***
       2  100.00 ***
       3   96.97 **
       4  100.00 ***
       5   98.46 **
       6   96.97 **
       7   91.43 **
       8  100.00 ***
       9   88.89 *
      10   91.43 **
      11   96.97 **
      12   88.89 *
      13   98.46 **
      14   91.43 **
      15   85.33 *
      16  100.00 ***
      17   94.12 **
      18   88.89 *
      19   84.21 *
      20   80.00 *
      21   76.19
      22   96.97 **
      23   92.75 **
      24   88.89 *
      25   85.33 *
      26   82.05 *
      27   79.01
      28   76.19
      29   73.56
      30   71.11
      31   68.82
      32  100.00 ***
      33   96.97 **
      34   94.12 **
      35   91.43 **
      36   88.89 *
      37   86.49 *
      38   84.21 *
      39   82.05 *
      40   80.00 *
      41   78.05
      42   76.19
      43   74.42
      44   72.73
      45   71.11
      46   69.57
      47   68.09
      48   66.67
      49   65.31
      50   64.00
      51   62.75
      52   61.54
      53   60.38
      54   59.26
      55   58.18
      56   57.14
      57   56.14
      58   55.17
      59   54.24
      60   53.33
      61   52.46
      62   51.61
      63   50.79
      64  100.00 ***
